"콘텐츠명","룸개수","애완동물동반허용여부","조식제공여부","금연여부","공항교통편","셔틀버스운행여부","등급","체크인시간","체크아웃시간","LATE체크인여부","장애인전용객실여부","부대시설기타","유아서비스기타"
"미라클게스트하우스",,"","","","","","","","","","","",""
"미도모텔",,"","","","","","","","","","","",""
"이야기별방",,"","","","","","","","","","","",""
"제주나인 부띠끄",,"","","","","","","","","","","",""
"제주통나무휴양펜션",5,"","","","","","","14:00","12:00","","","",""
"A COTE 아꼬떼하우스",,"","","","","","","","","","","",""
"호텔레오",,"","","","","","4","14:00","12:00","","","",""
"여행스케치",,"","","","","","","","","","","",""
"사쿠라모텔",,"","","","","","","","","","","",""
"호끌락80번지",,"","","","","","","","","","","",""
"제주황토펜션",,"","","","","","","","","","","",""
"나무향기펜션",,"","","","","","","","","","","",""
"잇츠힐",,"","","","","","","","","","","",""
"에이지하우스",,"","","","","","","","","","","",""
"제주 에코 스위츠 펜션",,"","","","","","","","","","","",""
"인더 하우스",,"","","","","","","","","","","",""
"썬레이크빌제주",,"","","","","","","","","","","",""
"제주썬호텔&카지노",,"","","","","","","","","","","",""
"중문통나무휴양펜션",,"","","","","","","","","","","",""
"뉴코리아유스호스텔",,"","","","","","","","","","","",""
"호텔더블유 탑동점",,"","","","","","","","","","","",""
"부르네스테이",,"","","","","","","","","","","",""
"보오메꾸뜨르호텔",,"","","","","","","","","","","",""
"제주팔레스호텔",,"","","","","","","","","","","",""
"바다산책",,"","","","","","","","","","","",""
"보리게스트하우스",,"","","","","","","","","","","",""
"오비두스",,"","","","","","","","","","","",""
"제주포시즌호텔",,"","","","","","","","","","","",""
"다이아나호텔",,"","","","","","","","","","","",""
"화인호텔",,"","","","","","","","","","","",""
"빠레브호텔",204,"","","","","","4","00:00","00:00","","","",""
"펜션해다미",,"","","","","","","","","","","",""
"투데이제주펜션",,"","","","","","","","","","","",""
"피우다 게스트하우스",,"","","","","","","","","","","",""
"이디살래",,"","","","","","","","","","","",""
"씨에스호텔앤리조트",,"","","","","","","","","","","",""
"신라스테이 제주",,"","","","","","","","","","","",""
"리브라이프스테이",,"","","","","","","","","","","",""
"제주조천스위스마을게스트하우스",,"","","","","","","","","","","",""
"초",,"","","","","","","","","","","",""
"다이브게스트하우스",,"","","","","","","","","","","",""
"제주하늘푸른바다펜션",,"","","","","","","","","","","",""
"삼해인관광호텔",,"","","","","","","","","","","",""
"랑주호텔",,"","","","","","","","","","","",""
"더레드관광호텔",,"","","","","","","","","","","",""
"제주오리엔탈호텔",,"","","","","","5","15:00","12:00","","","",""
"케이관광호텔제주",,"","","","","","","","","","","",""
"예촌민박",,"","","","","","","","","","","",""
"제주도푸른바다",,"","","","","","","","","","","",""
"유니호텔제주",,"","","","","","","","","","","",""
"우리두리게스트하우스",,"","","","","","","","","","","",""
"루시드엠",,"","","","","","","","","","","",""
"BK호텔제주",,"","","","","","","","","","","",""
"까사올라게스트하우스",,"","","","","","","","","","","",""
"나무이야기게스트하우스 3호점",,"","","","","","","","","","","",""
"말짜게스트하우스",,"","","","","","","","","","","",""
"제주도푸른산푸른바다",,"","","","","","","","","","","",""
"제주디오빌",,"","","","","","2","14:00","11:00","","","",""
"제주bp게스트하우스 JEJU BP GUESTHOUSE",,"","","","","","","","","","","",""
"샤론의 집 펜션",,"","","","","","","","","","","",""
"유심이감성하우스민박",5,"n","1","1","","y","0","11:00","13:00","y","n","",""
"소랑호젠",,"","","","","","","","","","","",""
"중문올레펜션",,"","","","","","","","","","","",""
"르페도라",,"","","","","","","14:00","12:00","","","",""
"제주하나호텔",,"","","","","","","","","","","",""
"훼밀리민박",,"","","","","","","","","","","",""
"힐링하우스",,"","","","","","","","","","","",""
"채송화민박",,"","","","","","","","","","","",""
"오름길벗 게스트하우스",,"","","","","","","","","","","",""
"호텔 스카이파크 제주1호점",,"","","","","","","","","","","",""
"런호텔",,"","","","","","","","","","","",""
"호텔아로하",,"","","","","","","","","","","",""
"스위트모텔",,"","","","","","","","","","","",""
"신강남모텔",,"","","","","","","","","","","",""
"꽃머채 펜션",,"","","","","","","","","","","",""
"꿈의바다",,"","","","","","","","","","","",""
"모멘토호텔",,"","","","","","","","","","","",""
"휴마루리조트",,"","","","","","","","","","","",""
"아트모텔",,"","","","","","","","","","","",""
"나뜨랑펜션",,"","","","","","","","","","","",""
"가이아호텔",,"","","","","","","","","","","",""
"김녕몽생이",,"","","","","","","","","","","",""
"봉아저씨네민박",,"","","","","","","","","","","",""
"블루베이휴양펜션",,"","","","","","","","","","","",""
"달자펜션",,"","","","","","","","","","","",""
"제주애단비",,"y","","2","","","","15:00","11:00","","","",""
"이런날엔",,"","","","","","","","","","","",""
"백패커스홈",,"","","","","","","","","","","",""
"이모와 삼촌네",,"","","","","","","","","","","",""
"장원민박",,"","","","","","","","","","","",""
"베니키아 중문호텔",,"","","","","","","","","","","",""
"비롯하우스",,"","","","","","","","","","","",""
"빌로우비치호텔",,"","","","","","","","","","","",""
"이경훈 게스트하우스",,"","","","","","","","","","","",""
"단디해라 게스트하우스",,"","","","","","","","","","","",""
"또오크라",,"","","","","","","","","","","",""
"이공일삼게스트하우스",,"","","","","","","","","","","",""
"꿀잠자리",,"","","","","","","","","","","",""
"더뷰리조트",,"","","","","","","","","","","",""
"쁘띠제주빅터펜션",,"","","","","","","","","","","",""
"달빛바다",,"","","","","","","","","","","",""
"간드락게스트하우스",,"","","","","","","","","","","",""
"게스트하우스 도치",,"","","","","","","","","","","",""
"하루앤하루",,"","","","","","","","","","","",""
"이로제주",,"","","","","","","","","","","",""
"애월애휴양펜션",,"","","","","","","","","","","",""
"폴리폴리",,"","","","","","","","","","","",""
"대명리조트 제주",,"","","","","","","","","","","",""
"라파로마휴양펜션",,"","","","","","","","","","","",""
"For 安(포안)",,"","","","","","","","","","","",""
"그럼에도불구하고게스트하우스",,"","","","","","","","","","","",""
"기분좋은 민박",,"","","","","","","","","","","",""
"꿈꾸는 노마드",,"","","","","","","","","","","",""
"더클라우드호텔",,"","","","","","","","","","","",""
"트로피카 게스트하우스",,"","","","","","","","","","","",""
"하루나의 뜰",2,"","","","","","","15:00","11:00","","","","유아 식탁, 유아 낮잠 이불"
"꿈꾸는정원",,"","","","","","","","","","","",""
"퍼시픽호텔",,"","","","","","","","","","","",""
"나무이야기",,"","","","","","","","","","","",""
"유월그리고열두마루",,"","","","","","","","","","","",""
"해뜨는집 (남원)",,"","","","","","","","","","","",""
"코자호텔",,"","","","","","","","","","","",""
"타미우스골프앤빌리지",,"","","","","","","","","","","",""
"곱을락 (숙박)",,"","","","","","","","","","","",""
"구름밭하우스",,"","","","","","","16:00","11:00","","","",""
"호텔제이엠",,"","","","","","3","14:00","12:00","","","",""
"하녹펜션",,"","","","","","","","","","","",""
"ZeZuZip",,"","","","","","","","","","","",""
"가원비치펜션",,"","","","","","","","","","","",""
"온더스톤게스트하우스",,"","","","","","","","","","","",""
"토마스하우스",,"","","","","","","","","","","",""
"태흥여관",12,"n","3","1","","n","0","","","y","n","",""
"늘푸른 게스트하우스",,"","","","","","","","","","","",""
"동산나라펜션",,"","","","","","","","","","","",""
"해바라기",,"","","","","","","","","","","",""
"바닷가하우스펜션",,"","","","","","","","","","","",""
"메이풀하우스",,"","","","","","","","","","","",""
"UncleBORO게스트하우스",,"","","","","","","","","","","",""
"블란디야",,"","","","","","","","","","","",""
"제주시드니호텔",,"","","","","","","","","","","",""
"바이린하우스",,"","","","","","","","","","","",""
"제주우리집펜션",,"","","","","","","","","","","",""
"또올레펜션&게스트하우스",,"","","","","","","","","","","",""
"데이즈호텔 제주서귀포오션",,"","","","","","","","","","","",""
"에바다라이더하우스.공방",,"","","","","","","","","","","",""
"미소게스트하우스",,"","","","","","","","","","","",""
"북촌플레이스",,"","","","","","","","","","","",""
"한라앤탐 펜션",,"","","","","","","","","","","",""
"산방산게스트하우스",,"","","","","","","","","","","",""
"서귀포푸른바다",,"","","","","","","","","","","",""
"바다풍경펜션",,"","","","","","","","","","","",""
"초록하우스",,"","","","","","","","","","","",""
"제주산내들",,"","","","","","","","","","","",""
"마주보기펜션",,"","","","","","","","","","","",""
"오름풍경펜션",,"","","","","","","","","","","",""
"제주그린펜션",,"","","","","","","","","","","",""
"제니빌펜션",,"","","","","","","","","","","",""
"제주 리치호텔",,"","","","","","","","","","","",""
"그녀이야기 게스트하우스",,"","","","","","","","","","","",""
"삼다펜션",,"","","","","","","","","","","",""
"야호비치하우스",,"","","","","","","","","","","",""
"벼리게스트하우스",,"","","","","","","","","","","",""
"쉴띠펜션&게스트하우스",,"","","","","","","","","","","",""
"미쓰홍당무하우스",,"","","","","","","","","","","",""
"아침의 새소리",,"","","","","","","","","","","",""
"제주도통나무펜션",,"","","","","","","","","","","",""
"로그맨하우스",,"","","","","","","","","","","",""
"환상의민박",,"","","","","","","","","","","",""
"땅콩펜션",,"","","","","","","","","","","",""
"루체빌리조트",,"","","","","","","","","","","",""
"더하도스파빌라",,"","","","","","","","","","","",""
"연지민박",,"","","","","","","","","","","",""
"노을과원담",,"","","","","","","","","","","",""
"더갤러리펜션",,"","","","","","","","","","","",""
"코코스펜션",,"","","","","","","","","","","",""
"지삿개풍경",,"","","","","","","","","","","",""
"해일월",,"","","","","","","","","","","",""
"제주엔펜션",,"","","","","","","","","","","",""
"노을과어울림",,"","","","","","","","","","","",""
"오누게스트하우스",,"","","","","","","","","","","",""
"MJ펜션&리조트",,"","","","","","","","","","","",""
"제주비치펜션",,"","","","","","","","","","","",""
"리버풀펜션",,"","","","","","","","","","","",""
"팜빌리지",,"","","","","","","","","","","",""
"플로라펜션",,"","","","","","","","","","","",""
"제주감귤농협카라반",,"","","","","","","","","","","",""
"제주노스빌리지",,"","","","","","","","","","","",""
"캠퍼트리호텔앤리조트",,"","","","","","","","","","","",""
"해비치불턱카페&게스트하우스",,"","","","","","","","","","","",""
"소풍이야기 펜션",,"","","","","","","","","","","",""
"엘쯔타운펜션",,"","","","","","","","","","","",""
"아침의향기",,"","","","","","","","","","","",""
"제주양떼목장",,"","","","","","","","","","","",""
"시월애",,"","","","","","","","","","","",""
"늘해랑펜션",,"","","","","","","","","","","",""
"지니아펜션",,"","","","","","","","","","","",""
"오션스퀘어",,"","","","","","","","","","","",""
"마리아주펜션",,"","","","","","","","","","","",""
"더본 호텔",,"","","","","","","","","","","",""
"게스트하우스7",5,"n","","1","","","","16:00","10:00","","","",""
"놀멍쉬멍고르멍",,"","","","","","","","","","","",""
"해담은스파빌",,"","","","","","","","","","","",""
"제주도 레인보우",,"","","","","","","","","","","",""
"바다로가는길목",,"","","","","","","","","","","",""
"해아래펜션",,"","","","","","","","","","","",""
"캠핑트리펜션",,"","","","","","","15:00","11:00","","","글램핑, 노래방, 모닥불, 개별주차공간 등",""
"넙빌레하우스",,"","","","","","","","","","","",""
"밸류호텔 월드와이드 제주",,"","","","","","","","","","","",""
"바닷가하얀집",,"","","","","","","","","","","",""
"남촌풀하우스",,"","","","","","","","","","","",""
"느르왓",,"","","1","","n","","16:00","10:00","","","",""
"리치망고펜션",,"","","","","","","","","","","",""
"네모난 집",,"","","","","","","","","","","",""
"제주WE호텔",,"","","","","","","","","","","",""
"초콜릿펜션",,"","","","","","","","","","","",""
"비스타리조트",,"","","","","","","","","","","",""
"루미수다게스트하우스",,"","","","","","","","","","","",""
"캠프마라도",,"","","","","","","","","","","",""
"솔로 게스트하우스",,"","","","","","","","","","","",""
"하얀산호민박",,"","","","","","","","","","","",""
"제주신신휴양펜션",,"","","","","","","","","","","",""
"드림시아펜션",,"","","","","","","","","","","",""
"디아일랜드 블루 호텔",,"","","","","","","","","","","",""
"외돌개나라",,"","","","","","","","","","","",""
"등대민박",6,"n","1","1","","n","0","","","y","n","",""
"사계절민박",3,"n","1","1","","y","0","","","y","n","",""
"봉골레 하우스 민박",5,"n","1","2","","y","0","11:00","10:00","y","n","",""
"유창민박",5,"n","1","1","","y","0","","","y","n","",""
"자연하우스",,"","","","","","","","","","","",""
"하와이펜션",,"","","","","","","","","","","",""
"올레스테이",,"","","","","","","","","","","",""
"제주아트하우스",,"","","","","","","","","","","",""
"조이랜드펜션",,"","","","","","","","","","","",""
"해녀신춘자할망 민박",3,"","","2","","","","","","","","",""
"안뜨르 펜션",,"","","","","","","","","","","",""
"하랑 게스트하우스",,"","","","","","","","","","","",""
"에덴호스텔",,"","","","","","","","","","","",""
"꽃하루방게스트하우스",,"","","","","","","","","","","",""
"일레인호텔",,"","","","","","","","","","","",""
"나무이야기 하우스",,"","","","","","","","","","","",""
"하늘조각",,"","","","","","","","","","","",""
"제주파도소리",,"","","","","","","","","","","",""
"노블렛휴양펜션",,"","","","","","","","","","","",""
"제주아일",,"","","","","","","","","","","",""
"준하우스",,"","","","","","","","","","","",""
"모네하우스",,"","","","","","","","","","","",""
"뉴아일랜드호텔",,"","","","","","","","","","","",""
"하도어촌계펜션",,"","","","","","","","","","","",""
"베르사체",,"","","","","","","","","","","",""
"b5m 민박",,"","","","","","","","","","","",""
"모물펜션",,"","","","","","","","","","","",""
"웰빙하우스",,"","","","","","","","","","","",""
"마이테르유스호스텔",,"","","","","","","","","","","",""
"우도피아",,"","","","","","","","","","","",""
"남원화이트빌리지",,"","","","","","","","","","","",""
