"콘텐츠명","추천인ID","생성일"
"정방폭포","USR_00000010736",17/10/02
"해녀박물관","USR_00000021410",17/10/02
"명진전복","USR_00000021783",17/10/03
"봄날카페","USR_00000021783",17/10/03
"제주김만복(만복이네김밥집)","USR_00000021783",17/10/03
"오설록티뮤지엄","USR_00000021791",17/10/03
"애월한담해안산책로","USR_00000021846",17/10/05
"리치망고","USR_00000021794",17/10/06
"사려니숲길","USR_00000013987",17/10/07
"그레이스관광호텔","USR_00000006994",17/10/07
"성산일출봉(UNESCO 세계자연유산)","USR_00000021794",17/10/08
"애월더선셋","USR_00000022045",17/10/09
"우유부단","USR_00000022336",17/10/14
"올래국수","USR_00000022369",17/10/15
"비자림","USR_00000022620",17/10/18
"가을비 내리는 날, 가기 좋은 제주 명소","USR_00000022397",17/10/19
"가을비 내리는 날, 가기 좋은 제주 명소","USR_00000022798",17/10/21
"(일특) 아기자기한 제주의 기념품 숍","USR_00000022798",17/10/21
"한라산국립공원","USR_00000023144",17/10/27
"제주로 디톡스하자 <‘수고했어 오늘도’ 나에게 주는 쉼의 선물>","USR_00000014124",17/06/02
"아침미소목장","USR_00000014209",17/06/04
"제주김만복(만복이네김밥집)","USR_00000014401",17/06/07
"2017년 6월에 놓치지 말아야 할 관광 10선 <이색적인 모험, 디스커버 제주 10>","USR_00000014533",17/06/08
"우도산호해변 홍조단괴 서빈백사","USR_00000014687",17/06/13
"2017년 6월에 놓치지 말아야 할 관광 10선 <이색적인 모험, 디스커버 제주 10>","USR_00000014952",17/06/19
"사려니숲길","USR_00000014957",17/06/19
"오설록티뮤지엄","USR_00000016614",17/07/01
"용두암","USR_00000016642",17/07/02
"한림공원 연꽃축제","USR_00000016679",17/07/03
"마지막 설화가 찬란한 <한라산 눈꽃 트레킹>","USR_00000016679",17/07/03
"명당양과","USR_00000016739",17/07/04
"명당양과","USR_00000016749",17/07/04
"하니크라운호텔","USR_00000016768",17/07/06
"카페 사우다드","USR_00000017078",17/07/11
"월정리해변","USR_00000017296",17/07/18
"번개과학체험관(폐업)","USR_00000017551",17/07/23
"메이즈랜드","USR_00000017680",17/07/25
"제주조천스위스마을게스트하우스","USR_00000018036",17/07/31
"알짜 쇼핑 속 득템은 아름다워라 <중문내국인 면세점 & 푸드 트립>","USR_00000017848",17/08/02
"더본 호텔","USR_00000008637",17/08/02
"김경숙해바라기농장","USR_00000018494",17/08/08
"버스 타고 제주 반 바퀴! <서남 202번 버스여행>","USR_00000018517",17/08/08
"알짜 쇼핑 속 득템은 아름다워라 <중문내국인 면세점 & 푸드 트립>","USR_00000018521",17/08/08
"레드팬더","USR_00000017771",17/08/10
"캠핑트리펜션","USR_00000019236",17/08/23
"레드팬더","USR_00000019236",17/08/23
"하이클래스제주","USR_00000019236",17/08/23
"블루네집","USR_00000019238",17/08/23
"2017년 9월에 놓치지 말아야 할 관광 10선 <제주의 속살, 중산간을 탐닉하다>","USR_00000019289",17/08/24
"명진전복","USR_00000019301",17/08/24
"제주절물자연휴양림","USR_00000019387",17/08/25
"아라리오뮤지엄동문모텔1","USR_00000019530",17/08/28
"제주 이호털보 배낚시","USR_00000019535",17/08/28
"제주김만복(만복이네김밥집)","USR_00000019382",17/08/28
"가시식당","USR_00000018849",17/09/03
"구름밭하우스","USR_00000017848",17/09/13
"한라수목원","USR_00000020136",17/09/13
"‘더 빠르게, 더 편리하게, 더 저렴하게’ 확 달라진 <제주 대중교통체계 전면 개편>","USR_00000020311",17/09/17
"이호테우해수욕장_old","USR_00000021004",17/09/21
"한라산국립공원","USR_00000021192",17/09/22
"돈사돈","USR_00000021199",17/09/23
"제주절물자연휴양림","USR_00000021365",17/09/26
"제주를 달려요 <동북 201번 버스여행>","USR_00000014729",17/09/26
"애월한담해안산책로","USR_00000021583",17/09/28
"동문재래시장","USR_00000021603",17/09/29
"그땐 그랬지. 옛 추억 찾아 떠나는 여행","USR_00000002360",17/09/29
"산굼부리","USR_00000021724",17/10/01
"외돌개","USR_00000007358",17/10/03
"성산일출봉(UNESCO 세계자연유산)","USR_00000021817",17/10/04
"제주특별자치도 도립미술관","USR_00000021817",17/10/04
"이호테우말등대","USR_00000021918",17/10/06
"블루네집","USR_00000021927",17/10/07
"고집돌우럭(중문)","USR_00000022001",17/10/08
"고집돌우럭(제주공항점)","USR_00000022001",17/10/08
"신창~차귀해안도로","USR_00000022030",17/10/09
"중문색달해수욕장","USR_00000004091",17/10/09
"‘더 빠르게, 더 편리하게, 더 저렴하게’ 확 달라진 <제주 대중교통체계 전면 개편>","USR_00000022045",17/10/09
"산굼부리","USR_00000013714",17/10/10
"(영특)슬라맛다탕! 말레이시아!","USR_00000022131",17/10/11
"천제연폭포","USR_00000020071",17/10/14
"더아일랜더","USR_00000022508",17/10/17
"우도(해양도립공원)","USR_00000001164",16/07/11
"제주4.3평화공원","USR_00000000387",16/07/08
"호텔제이엠","USR_00000001279",16/07/12
"삼양해수욕장","USR_00000000408",16/07/13
"한림매일시장","USR_00000000408",16/07/13
"꿈꾸는 노마드","USR_00000001267",16/07/13
"블랙샌즈호텔","USR_00000001570",16/11/04
"하고수동해변","USR_00000001164",16/11/17
"성산일출봉(UNESCO 세계자연유산)","USR_00000007756",16/12/15
"섭지코지","USR_00000001258",16/12/24
"검멀레해변","USR_00000001257",16/12/26
"jival 지발","USR_00000008312",16/12/26
"애월해안도로","USR_00000008928",16/12/27
"성산일출봉(UNESCO 세계자연유산)","USR_00000008928",16/12/27
"더베이리조트","USR_00000008937",16/12/27
"제주기독교순례길","USR_00000008987",16/12/28
"제주불교성지 순례길 절로 가는길 - 인욕의 길","USR_00000008987",16/12/28
"아이비테라스","USR_00000009085",16/12/29
"작은 섬 속 누리는 힐링 산책 <가파도 여행>","USR_00000009168",17/01/01
"제주의 아픔  <제주 4·3의 현장을 찾아서>","USR_00000009168",17/01/01
"제주감귤호떡집","USR_00000009612",17/01/06
"용두암","USR_00000009647",17/01/07
"소라담하우스","USR_00000009616",17/01/07
"하바나블루스","USR_00000009651",17/01/07
"제주김녕미로공원","USR_00000009734",17/01/09
"제주김녕미로공원","USR_00000009735",17/01/09
"카멜리아힐","USR_00000001558",17/01/10
"꽃하루방게스트하우스","USR_00000006824",17/01/23
"성산일출봉(UNESCO 세계자연유산)","USR_00000010310",17/01/23
"2월 제주 관광 추천 <신들과 함께 봄맞을 채비를 하는 제주>","USR_00000002197",17/01/24
"다채로운 빛깔을 지닌 섬 속의 섬 <우도 여행>","USR_00000010414",17/01/27
"플레이케이팝","USR_00000010582",17/02/06
"플레이케이팝","USR_00000010583",17/02/06
"이호테우해수욕장_old","USR_00000002209",17/02/08
"제주에서 핫한 이색 빵집 <제주 빵투어 8>","USR_00000002197",17/02/10
"제주김녕미로공원","USR_00000010699",17/02/12
"오라숲소리","USR_00000010527",17/02/12
"한라산국립공원","USR_00000010723",17/02/13
"제이드림호텔(jdream hotel)","USR_00000010781",17/02/14
"이호테우해수욕장_old","USR_00000010791",17/02/14
"서귀포KAL호텔","USR_00000011112",17/02/23
"용연","USR_00000011359",17/02/26
"한라수목원","USR_00000011359",17/02/26
"제주 삼양동 유적","USR_00000011359",17/02/26
"국립제주박물관","USR_00000011359",17/02/26
"미친부엌","USR_00000011359",17/02/26
"순옥이네 명가","USR_00000011360",17/02/26
"유람위드북스","USR_00000002281",17/02/27
"2017년 3월 추천 10선 <놓치면 후회할 꽃삼월의 제주>","USR_00000011423",17/02/28
"비롯하우스","USR_00000011440",17/02/28
"동문재래시장","USR_00000010641",17/03/01
"제주절물자연휴양림","USR_00000010641",17/03/01
"이호테우말등대","USR_00000010641",17/03/01
"아침미소목장","USR_00000010641",17/03/01
"김녕 지질트레일","USR_00000010641",17/03/01
"슴게스트하우스 제주공항점","USR_00000011503",17/03/04
"서귀포 유채꽃 국제걷기대회","USR_00000011182",17/03/07
"마라도(마라해양도립공원)","USR_00000011182",17/03/07
"버스 타고 제주 반 바퀴! <서북 202번 버스여행>","USR_00000011530",17/03/07
"제주왕벚꽃축제","USR_00000011535",17/03/07
"세계조가비박물관","USR_00000011614",17/03/11
"화인호텔","USR_00000011653",17/03/13
"화인호텔","USR_00000011654",17/03/13
"세계조가비박물관","USR_00000011707",17/03/15
"독특한 입맛으로 사로잡는 <제주에서 즐기는 세계요리여행>","USR_00000011182",17/03/20
"사봉낙조를 기다리며 <도심 속 오름 사라봉 걷기>","USR_00000006218",16/12/21
"구수함이 느껴지는 <제주 오일장 여행>","USR_00000001961",16/12/23
"춤추는오병장의돼지꿈","USR_00000010227",17/01/19
"춤추는오병장의돼지꿈","USR_00000010228",17/01/19
"두 발이 닿는 곳은 어디든지 <송악산 둘레길과 올레길 걷기 >","USR_00000010317",17/01/25
"성산일출봉(UNESCO 세계자연유산)","USR_00000010434",17/01/28
"플레이케이팝","USR_00000010584",17/02/06
"하하호호(HAHAHOHO)","USR_00000010641",17/02/08
"구름밭하우스","USR_00000010641",17/02/08
"한라산국립공원","USR_00000000396",17/02/09
"제주김녕미로공원","USR_00000010698",17/02/12
"이호테우말등대","USR_00000010834",17/02/15
"화인호텔","USR_00000011651",17/03/13
"화인호텔","USR_00000011652",17/03/13
"옥돔식당 ","USR_00000011673",17/03/14
"제주현대미술관","USR_00000011813",17/03/20
"떡볶이 바다에 퐁당 <제주 서쪽 떡볶이 투어>","USR_00000007933",17/03/21
"지금 제주는 딸기딸기해 <제주도 딸기디저트 탐험>","USR_00000007933",17/03/21
"꽃길 따라 샤랄라 <4월 제주, 꽃길만 걸어요>","USR_00000007933",17/03/21
"블라제리조트","USR_00000011834",17/03/21
"꽃길만 걸어요 <제주 봄꽃 여행>","USR_00000011856",17/03/22
"제주애","USR_00000011898",17/03/23
"제주왕벚꽃축제","USR_00000002197",17/03/24
"제주김녕미로공원","USR_00000011936",17/03/25
"소섬바당","USR_00000011953",17/03/26
"제주절물자연휴양림","USR_00000012011",17/03/29
"호박다방","USR_00000012011",17/03/29
"신라호텔제주","USR_00000012012",17/03/29
"숨은 매력 가득한 바다 마을 <김녕, 돈(豚)의 맛>","USR_00000002880",17/03/29
"앤트러사이트","USR_00000011813",17/03/30
"제주머무리 삼양힐링팜","USR_00000011726",17/03/31
"명랑스낵","USR_00000011906",17/03/31
"중문그린힐통나무펜션","USR_00000012152",17/04/04
"제주목관아","USR_00000012175",17/04/05
"성산일출봉(UNESCO 세계자연유산)","USR_00000012175",17/04/05
"함덕해수욕장","USR_00000012175",17/04/05
"제주관광공사 시내면세점(외국인)","USR_00000001964",17/04/06
"카멜리아힐","USR_00000001961",17/04/06
"더마파크","USR_00000012195",17/04/06
"겨울 제주 별자리 <동서남북을 꿈과 낭만으로 수놓다>","USR_00000003657",17/03/08
"로그하우스","USR_00000011750",17/03/17
"제주에서 핫한 이색 빵집 <제주 빵투어 8>","USR_00000002317",17/03/17
"2017~18 한국관광 100선에 선정된 <제주가 품은 한국의 대표 관광지 12>","USR_00000001367",17/03/24
"고집돌우럭(제주공항점)","USR_00000012286",17/04/11
"고집돌우럭(제주공항점)","USR_00000012305",17/04/12
"쇠소깍","USR_00000012514",17/04/22
"이호테우해수욕장_old","USR_00000012517",17/04/22
"산굼부리","USR_00000012630",17/04/26
"월정리해변","USR_00000012667",17/04/30
"국수의전설","USR_00000013211",17/05/11
"서연의집(영화 건축학개론)","USR_00000013291",17/05/14
"흑돼지구이집 하영","USR_00000013325",17/05/15
"월정리해변","USR_00000013318",17/05/15
"협재해수욕장","USR_00000013346",17/05/16
"이호테우해수욕장_old","USR_00000013346",17/05/16
"2017년 6월에 놓치지 말아야 할 관광 10선 <이색적인 모험, 디스커버 제주 10>","USR_00000013563",17/05/23
"제주를 달려요 <동남 201번 버스여행 >","USR_00000013563",17/05/23
"델문도","USR_00000013577",17/05/24
"육수명가도우락","USR_00000013595",17/05/24
"육수명가도우락","USR_00000013600",17/05/24
"육수명가도우락","USR_00000013428",17/05/24
"육수명가도우락","USR_00000013615",17/05/24
"육수명가도우락","USR_00000013642",17/05/24
"2017년 6월에 놓치지 말아야 할 관광 10선 <이색적인 모험, 디스커버 제주 10>","USR_00000013291",17/05/24
"로즈오닐과 앤티크큐피 전시관","USR_00000013668",17/05/25
"육수명가도우락","USR_00000013598",17/05/25
"제주를 닮은 간식 먹어봤수꽈 <제주의 통통 튀는 간식들>","USR_00000007091",17/05/25
"제주로 디톡스하자 <‘수고했어 오늘도’ 나에게 주는 쉼의 선물>","USR_00000013707",17/05/25
"검멀레해변","USR_00000013582",17/05/26
"꽃길만 걸어요 <제주 여름꽃 여행>","USR_00000003657",17/03/08
"한림공원","USR_00000011564",17/03/09
"제주별빛누리공원[제한적운영중]","USR_00000011768",17/03/18
"꽃길만 걸어요 <제주 봄꽃 여행>","USR_00000011769",17/03/18
"푸른콘도","USR_00000011774",17/03/18
"꽃길 따라 샤랄라 <4월 제주, 꽃길만 걸어요>","USR_00000011920",17/03/24
"성산일출봉(UNESCO 세계자연유산)","USR_00000012195",17/04/06
"꽃길 따라 샤랄라 <4월 제주, 꽃길만 걸어요>","USR_00000012231",17/04/09
"한림공원","USR_00000012274",17/04/17
"환상숲 곶자왈공원","USR_00000012922",17/05/01
"두맹이골목","USR_00000013128",17/05/07
"세화해변","USR_00000013197",17/05/11
"제주 신화를 찾아서  <설문대 할망의 흔적들>","USR_00000013197",17/05/11
"비자림","USR_00000013197",17/05/11
"어진이네횟집","USR_00000013239",17/05/12
"내가 먼저 꼭 가보고 싶은 <제주 카페 투어 10>","USR_00000013291",17/05/14
"라온골프클럽","USR_00000001279",16/07/12
"새별오름","USR_00000000001",16/09/27
"스토리하우스펜션","USR_00000001569",16/10/27
"이어도식당","USR_00000002197",17/01/09
"2017년 3월 추천 10선 <놓치면 후회할 꽃삼월의 제주>","USR_00000008310",17/02/21
"피어22","USR_00000011112",17/02/22
"한라산국립공원","USR_00000011250",17/02/23
"함덕해수욕장","USR_00000011352",17/02/26
"용담/용두암 해안도로","USR_00000011359",17/02/26
"오라숲소리","USR_00000011360",17/02/26
"내가 먼저 꼭 가보고 싶은 <제주 카페 투어 10>","USR_00000003657",17/03/08
"감성으로 무장한?<제주 쇼핑 스폿>","USR_00000003657",17/03/08
"2017년 3월 추천 10선 <놓치면 후회할 꽃삼월의 제주>","USR_00000010608",17/03/09
"용두암","USR_00000011596",17/03/10
"함덕해수욕장","USR_00000011609",17/03/10
"제주도푸른바다","USR_00000011685",17/03/14
"숲속의 카페 <중산간 카페여행>","USR_00000012042",17/03/30
"인더오조","USR_00000012208",17/04/07
"바다를본돼지(판포점)","USR_00000012125",17/04/09
"오라숲소리","USR_00000012264",17/04/10
"테디베어뮤지엄제주","USR_00000012308",17/04/12
"협재해수욕장","USR_00000012484",17/04/21
"올래국수","USR_00000012638",17/04/27
"‘귤빛으로 놀다’ 오월의 귤꽃소풍","USR_00000002392",17/04/27
"5월에 놓치지 말아야 할 <오감으로 느끼는 제주의 10가지 컬러>","USR_00000012650",17/04/27
"이호테우말등대","USR_00000013346",17/05/16
"2017~18 한국관광 100선에 선정된 <제주가 품은 한국의 대표 관광지 12>","USR_00000010559",17/05/18
"제주관광공사 중문면세점 (내국인)","USR_00000013401",17/05/18
"호텔레오","USR_00000013425",17/05/19
"월령선인장군락지","USR_00000013431",17/05/20
"구수함이 느껴지는 <제주 오일장 여행>","USR_00000013563",17/05/23
"다채로운 빛깔을 지닌 섬 속의 섬 <우도 여행>","USR_00000013563",17/05/23
"토요일은 송당에서 놀자","USR_00000013561",17/05/23
"젊음과 생기 가득한 <제주의 해수욕장 그리고 카페들>","USR_00000013563",17/05/23
"흑돼지구이집 하영","USR_00000000001",16/06/01
"우도(해양도립공원)","USR_00000000001",16/06/04
"플레이케이팝","USR_00000000001",16/06/09
"상여오름","USR_00000000001",16/06/09
"천마명","USR_00000000382",16/06/13
"제주국제컨벤션센터 icc","USR_00000000001",16/06/14
"송악산","USR_00000000001",16/06/18
"서귀포KAL호텔","USR_00000000560",16/06/19
"블라제리조트","USR_00000000560",16/06/19
"중문그린힐통나무펜션","USR_00000000560",16/06/19
"1080칼국수","USR_00000000387",16/06/21
"지소울","USR_00000000001",16/06/01
"천마명","USR_00000000001",16/06/01
"제주칠성로상가","USR_00000000001",16/06/01
"제주민속오일시장","USR_00000000001",16/06/01
"중문향토오일시장","USR_00000000001",16/06/01
"한림민속오일시장","USR_00000000001",16/06/01
"떡볶이대학 라면학과","USR_00000000001",16/06/06
"제주교육박물관","USR_00000000031",16/06/07
"한라산국립공원","USR_00000000001",16/06/08
"페인터즈:히어로 제주","USR_00000000001",16/06/08
"제주4.3평화공원","USR_00000000001",16/06/12
"호텔제이엠","USR_00000000001",16/06/13
"평화통일 불사리탑","USR_00000000001",16/05/30
"퍼시픽 리솜 마린스테이지","USR_00000000001",16/05/30
"함덕해수욕장","USR_00000000165",16/06/08
"호스텔린든(Hostel lyndon)","USR_00000000104",16/06/09
"호텔 마레","USR_00000000320",16/06/10
"바당의물질","USR_00000000380",16/06/17
"중문훼미리리조트","USR_00000000001",16/06/21
"제주4.3평화공원","USR_00000000408",16/06/23
"휴양펜션 돌과바람","USR_00000000001",16/06/13
"넥슨컴퓨터박물관","USR_00000000001",16/06/06
"코델리아리조트","USR_00000000173",16/06/08
"차귀도","USR_00000000001",16/06/13
"천지연폭포","USR_00000000001",16/06/13
"환상숲 곶자왈공원","USR_00000000001",16/06/13
"쉬리의언덕","USR_00000000001",16/06/13
"제주현대미술관","USR_00000000378",16/06/14
"방림원","USR_00000000378",16/06/14
"바당의물질","USR_00000000407",16/06/19
"피자란?","USR_00000000407",16/06/19
"1080칼국수","USR_00000000686",16/06/22
"제주 패러글라이딩 스쿨","USR_00000000787",16/06/27
