,AREA_NM,주소,태그,주요목적,주요목적기타,co2,lg_cat,md_cat
0,성산일출봉(UNESCO 세계자연유산),제주특별자치도 서귀포시 성산읍 일출로 284-12,"#일출 #오름 #경관/포토
#부모 #자연경관 #포토스팟 #유네스코",등산,산책로. 올레코스. 오름,7.606409026090909,자연,산
2,카멜리아힐,제주특별자치도 서귀포시 안덕면 병악로 166,"#경관/포토 #커플 #아이
#맑음 #겨울 #힐링 #자연경관 #포토스팟 #어린이 #어트랙션 #동백 #수국","공연/전시,포토스팟",,3.68769097625,자연,
5,함덕해수욕장,제주특별자치도 제주시 조천읍 조함해안로 519-10,"#해수욕장 #액티비티 #아이
#맑음 #여름 #자연경관 #체험 #레저/체험 #해변 #물놀이 #어린이 #수상레저",,,9.37718565818182,자연,바다
6,산굼부리,제주특별자치도 제주시 조천읍 비자림로 768,"#오름 #걷기/등산 #친구
#맑음 #가을 #우수관광사업체 #자연경관 #억새",등산,"산책로, 등산로",6.074776461454545,자연,산
8,섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107,"#일출 #해변 #경관/포토
#커플 #맑음 #가을 #자연경관 #포토스팟 #봄꽃 #유채꽃","등산,기타",산책로,1.6391605130657607,자연,바다
10,한라산국립공원,제주특별자치도 제주시 1100로 2070-61,"#산 #걷기/등산 #경관/포토
#친구 #사계절 #자연경관 #포토스팟 #한라산 #언택트 #단풍 #유네스코",,,16.413972332999997,자연,산
11,성산일출봉(UNESCO 세계자연유산),제주특별자치도 서귀포시 성산읍 일출로 284-12,"#일출 #오름 #경관/포토
#부모 #자연경관 #포토스팟 #유네스코",등산,산책로. 올레코스. 오름,7.606409026090909,자연,산
14,비자림,제주특별자치도 제주시 구좌읍 비자숲길 55,"#걷기/등산 #아이 #흐림
#여름 #힐링 #자연경관 #어린이 #수국",기타,산책로,4.532504911181818,자연,산
15,천지연폭포,제주특별자치도 서귀포시 남성중로 2-15,"#폭포 #밤 #경관/포토
#부모 #맑음 #여름 #자연경관 #포토스팟 #유네스코",,,7.058098555300001,자연,산
17,광치기해변,제주특별자치도 서귀포시 성산읍 섭지코지로 63,"#일출 #해변 #경관/포토
#흐림 #봄 #자연경관 #포토스팟 #봄꽃 #유채꽃",,,1.216786385,자연,바다
18,김녕해수욕장,제주특별자치도 제주시 구좌읍 구좌해안로 237,"#해수욕장 #액티비티 #아이
#맑음 #여름 #자연경관 #체험 #레저/체험 #해변 #물놀이 #어린이 #수상레저",,,0.1354669344545454,자연,바다
21,쇠소깍,제주특별자치도 서귀포시 쇠소깍로 128,"#계곡 #휴식/힐링 #액티비티
#커플 #맑음 #여름 #자연경관 #체험 #레저/체험 #수상레저 #어트랙션 #물놀이",체험,,4.4755842147,자연,바다
22,제주4.3평화공원,제주특별자치도 제주시 명림로 430,"#테마공원 #부모 #커플
#혼자 #친구 #아이 #맑음 #흐림 #미술/박물관 #실내 #실내관광지 #어트랙션 #봄꽃 #벚꽃",,,23.250042445454547,테마파크/테마관광지,유적지외
28,정방폭포,제주특별자치도 서귀포시 칠십리로214번길 37,"#폭포 #경관/포토 #커플
#여름 #자연경관 #포토스팟","포토스팟,기타",전망 관람,1.4288709758,자연,산
29,용두암,제주특별자치도 제주시 용두암길 15,"#일출 #해변 #경관/포토
#맑음 #자연경관 #포토스팟","기타,포토스팟",전망 관람,0.7282364999,자연,바다
30,제주절물자연휴양림,제주특별자치도 제주시 명림로 584,"#휴양림 #걷기/등산 #휴식/힐링
#친구 #커플 #흐림 #여름 #자연경관 #수국",기타,"산책로, 휴양림",4.831688882772545,자연,산
33,한림공원,제주특별자치도 제주시 한림읍 한림로 300,"#휴식/힐링 #테마공원 #아이
#맑음 #봄 #우수관광사업체 #동굴 #어린이 #매화 #수국 #안전여행스탬프","포토스팟,기타",,20.802554221,테마파크/테마관광지,유적지외
34,금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10,"#일몰 #해수욕장 #액티비티
#아이 #맑음 #여름 #자연경관 #체험 #레저/체험 #해변 #물놀이 #어린이 #수상레저",,,0.4378091255,자연,바다
36,천제연폭포,제주특별자치도 서귀포시 천제연로 132,"#폭포 #경관/포토 #커플
#아이 #맑음 #여름 #포토스팟 #어린이 #봄꽃 #벚꽃",,,3.0365489801,자연,산
37,방주교회,제주특별자치도 서귀포시 안덕면 산록남로762번길 113,"#부모 #커플 #친구
#아이 #맑음 #사계절 #문화관광 #어린이 #어트랙션",포토스팟,"종교시설, 건축물",3.2762144017272727,공연/전시,
38,이호테우말등대,제주특별자치도 제주시 서해안로 58,"#등대 #일몰 #경관/포토
#커플 #맑음 #가을 #포토스팟",포토스팟,산책,0.0822508092727273,레저/체험,전망대
39,중문색달해수욕장,제주특별자치도 서귀포시 중문관광로72번길 29-51,"#해수욕장 #액티비티 #친구
#맑음 #여름 #자연경관 #체험 #레저/체험 #해변 #물놀이 #수상레저",,,0.3444191705,자연,바다
40,신창~차귀해안도로,제주특별자치도 제주시 한경면 한경해안로 470,"#일몰 #드라이브 #커플
#맑음 #가을 #자연경관",,,0.5387311439999999,레저/체험,드라이브
41,제주김녕미로공원,제주특별자치도 제주시 구좌읍 만장굴길 122,"#테마공원 #아이 #맑음
#봄 #우수관광사업체 #자연경관 #어린이","포토스팟,기타",산책로,1.976604991181818,자연,
42,성이시돌목장,제주특별자치도 제주시 한림읍 산록남로 53,"#목장 #경관/포토 #커플
#우유 #자연경관 #포토스팟",,,11.1388619299,레저/체험,체험농장
43,휴애리 자연생활공원,제주특별자치도 서귀포시 남원읍 신례동로 256,"#휴식/힐링 #아이 #맑음
#봄 #우수관광사업체 #자연경관 #어린이 #동백 #매화 #수국 #안전여행스탬프","체험,공연/전시,포토스팟",,5.153974308090909,자연,
44,"더럭초등학교(구, 더럭분교)",제주특별자치도 서귀포시 이어도로 36-30,"#해변 #경관/포토 #친구
#커플 #맑음 #자연경관 #포토스팟 #유네스코","공연/전시,기타",전망 관람,3.940095630300001,자연,바다
45,만장굴,제주특별자치도 제주시 구좌읍 만장굴길 182,"#동굴 #경관/포토 #아이
#흐림 #여름 #자연경관 #포토스팟 #어린이 #유네스코",,,2.367661917636364,자연,
48,노리매공원,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15,"#경관/포토 #테마공원 #커플
#맑음 #봄 #자연경관 #포토스팟 #매화",포토스팟,산책,5.2668111442,자연,
50,보롬왓,제주특별자치도 서귀포시 표선면 번영로 2350-104,"#경관/포토 #휴식/힐링 #친구
#커플 #맑음 #봄 #여름 #가을 #자연경관 #포토스팟 #수국",,,1.8583808444,자연,
52,메이즈랜드,제주특별자치도 제주시 구좌읍 비자림로 2134-47,"#부모 #아이 #테마공원
#미술/박물관 #경관/포토 #전시와행사 #우수관광사업체 #실내관광지 #포토스팟 #어린이 #어트랙션",공연/전시,,10.926959602363638,테마파크/테마관광지,유적지외
55,주상절리대(중문대포해안),제주특별자치도 서귀포시 성산읍 삼달로 137,"#예술 #실내 #미술/박물관
#커플 #흐림 #겨울 #문화관광 #어트랙션",공연/전시,,1.1747814623636363,공연/전시,
56,중문관광단지,제주특별자치도 서귀포시 중문관광로72번길 35,"#부모 #커플 #아이
#체험관광 #쇼핑 #어린이 #어트랙션",,,5.907151951990955,테마파크/테마관광지,유적지외
63,선녀와나무꾼,제주특별자치도 제주시 조천읍 선교로 267,"#실내 #테마공원 #커플
#아이 #흐림 #사계절 #실내관광지 #어린이 #어트랙션",,,5.7729005211818185,테마파크/테마관광지,유적지외
64,제주돌문화공원,제주특별자치도 제주시 조천읍 남조로 2023,"#테마공원 #커플 #흐림
#겨울 #실내관광지 #어트랙션","기타,포토스팟,공연/전시",,26.89446750454545,테마파크/테마관광지,유적지외
67,아침미소목장,제주특별자치도 제주시 첨단동길 160-20,"#체험관광 #아이 #맑음
#봄 #체험 #어린이 #어트랙션",,,4.267589911,레저/체험,체험농장
68,용담/용두암 해안도로,제주특별자치도 제주시 서해안로 687-8,"#밤 #해변 #드라이브
#커플 #맑음 #가을 #자연경관",,,0.5063479343,레저/체험,드라이브
71,너븐숭이 4.3기념관,제주특별자치도 제주시 조천읍 북촌3길 3,"#4.3 #실내 #미술/박물관
#부모 #비.눈 #봄 #자연경관 #문화관광 #제주4.3 #역사유적 #어트랙션","공연/전시,기타",문화관광,1.464322960727273,테마파크/테마관광지,유적지
75,제주유리의성,제주특별자치도 제주시 한경면 녹차분재로 462,"#테마공원 #커플 #흐림
#가을 #우수관광사업체 #실내관광지 #어트랙션 #안전여행스탬프","포토스팟,기타,공연/전시",,23.45409057636364,테마파크/테마관광지,유적지외
78,함덕백사장 & 서우봉,제주특별자치도 제주시 조천읍 조함해안로 519-10,"#부모 #커플 #혼자
#친구 #아이 #맑음 #여름 #해변 #문화유적지 #오름 #자연경관 #역사유적 #어린이 #봄꽃 #유채꽃",,,1.0705070975864834,테마파크/테마관광지,유적지
79,소인국테마파크,제주특별자치도 서귀포시 안덕면 중산간서로 1878,"#테마공원 #아이 #봄
#실내관광지 #어린이 #어트랙션","공연/전시,기타",,0.9544145687272728,테마파크/테마관광지,유적지외
80,렛츠런팜제주,제주특별자치도 제주시 조천읍 남조로 1660,"#테마공원 #아이 #꽃
#어린이 #해바라기",,,0.195189372,테마파크/테마관광지,유적지외
82,제주민속촌,제주특별자치도 서귀포시 표선면 민속해안로 631-34,"#문화유적지 #아이 #흐림
#가을 #우수관광사업체 #역사유적 #안전여행스탬프",포토스팟,,1.0705070975864834,테마파크/테마관광지,유적지
84,수월봉 지질트레일,제주특별자치도 제주시 한경면 노을해안로 1013-70,"#지질트레일 #걷기/등산 #친구
#맑음 #가을 #자연경관 #언택트 #유네스코",,,11.438139585545455,자연,산
85,안덕계곡,제주특별자치도 서귀포시 안덕면 일주서로 1524,"#계곡 #액티비티 #커플
#흐림 #봄 #자연경관 #체험 #레저/체험 #어트랙션 #물놀이",,,0.913554079181818,자연,산
86,헬로키티아일랜드,제주특별자치도 서귀포시 안덕면 한창로 340,"#실내 #테마공원 #아이
#비.눈 #겨울 #우수관광사업체 #실내관광지 #어린이 #어트랙션",,,15.46090565090909,테마파크/테마관광지,유적지외
87,제주러브랜드[휴업중],제주특별자치도 제주시 1100로 2894-72,"#커플 #테마공원 #가을
#밤 #실내관광지 #어트랙션",공연/전시,,14.76773542,테마파크/테마관광지,유적지외
88,거문오름(UNESCO 세계자연유산),제주특별자치도 제주시 애월읍 항파두리로 50,"#문화유적지 #친구 #커플
#봄 #가을 #문화관광 #역사유적 #봄꽃 #유채꽃 #수국 #해바라기",공연/전시,,2.4748104983,테마파크/테마관광지,유적지
91,박물관은 살아있다,제주특별자치도 서귀포시 중문관광로 42,"#실내 #테마공원 #아이
#비.눈 #겨울 #사계절 #실내관광지 #문화관광 #박물관 #어트랙션","공연/전시,포토스팟",,0.2289289459999999,테마파크/테마관광지,유적지외
92,본태박물관,제주특별자치도 서귀포시 안덕면 산록남로762번길 69,"#예술 #실내 #미술/박물관
#친구 #커플 #흐림 #겨울 #우수관광사업체 #실내관광지 #문화관광 #박물관 #어트랙션",,,10.13348619318182,공연/전시,
94,제주레일바이크,제주특별자치도 제주시 구좌읍 용눈이오름로 641,"#친구 #경관/포토 #체험관광
#액티비티 #가을 #체험 #레저/체험 #포토스팟 #어트랙션",체험,,3.5908910352727275,레저/체험,
95,한담해변,제주특별자치도 제주시 애월읍 애월로1길 26-4,"#해변 #경관/포토 #커플
#맑음 #여름 #자연경관 #포토스팟 #봄꽃 #유채꽃",,,1.7855271,자연,바다
96,한라산어리목코스,제주특별자치도 제주시 1100로 2070-61,"#산 #걷기/등산 #친구
#커플 #흐림 #봄 #자연경관 #체험 #한라산 #언택트 #어트랙션 #단풍",,,16.413972332999997,자연,산
98,선운정사,제주특별자치도 제주시 애월읍 구몰동길 65,"#밤 #경관/포토 #휴식/힐링
#부모 #흐림 #여름 #문화관광 #포토스팟",,,2.777241700636364,자연,산
99,성읍민속마을,제주특별자치도 서귀포시 표선면 성읍정의현로 19,"#문화유적지 #부모 #아이
#봄 #자연경관 #역사유적 #마을산책 #마을관광 #어린이 #제주명품42 #제주7대건축물 #사적지 #문화재 #문화관광","공연/전시,포토스팟",,2.3139074852,테마파크/테마관광지,유적지
100,항파두리항몽유적지,제주특별자치도 제주시 애월읍 항파두리로 50,"#문화유적지 #친구 #커플
#봄 #가을 #문화관광 #역사유적 #봄꽃 #유채꽃 #수국 #해바라기",공연/전시,,2.4748104983,테마파크/테마관광지,유적지
102,남원큰엉해변,제주특별자치도 서귀포시 남원읍 태위로 522-17,"#해변 #경관/포토 #맑음
#여름 #자연경관 #포토스팟",기타,전망 관람,0.0466250399090909,자연,바다
105,제주특별자치도 도립미술관,제주특별자치도 제주시 1100로 2894-78,"#예술 #미술/박물관 #실내
#사계절 #커플 #혼자 #실내관광지 #미술관 #문화관광 #어트랙션",공연/전시,,5.3393316432910085,공연/전시,
106,김녕 지질트레일,제주특별자치도 제주시 구좌읍 김녕로 209,"#지질트레일 #걷기/등산 #친구
#커플 #맑음 #가을 #겨울 #자연경관 #체험 #언택트 #유네스코 #어트랙션",,,5.388243940727273,자연,산
107,서귀포잠수함(대국해저관광),제주특별자치도 서귀포시 남성중로 40,"#액티비티 #커플 #아이
#우수관광사업체 #체험 #레저/체험 #어린이 #수상레저 #어트랙션",,,179.49579699999998,레저/체험,유람선&잠수함
108,아날로그감귤밭,제주특별자치도 제주시 해안마을8길 46,"#커플 #아이 #친구
#체험관광 #맑음 #겨울 #체험 #어린이 #어트랙션 #2022고메페스타",,,0.1621152639,레저/체험,
111,세계자동차 & 피아노박물관,제주특별자치도 서귀포시 효돈순환로 441,"#실내 #미술/박물관 #아이
#비.눈 #겨울 #실내관광지 #문화관광 #박물관 #어트랙션","공연/전시,체험",,0.4164548573,공연/전시,
116,코코몽 에코파크,제주특별자치도 서귀포시 남원읍 태위로 536,"#테마공원 #아이 #가을
#실내관광지 #어린이 #어트랙션",,,0.1205723534,테마파크/테마관광지,유적지외
118,약천사,제주특별자치도 서귀포시 이어도로 293-28,"#실내 #휴식/힐링 #부모
#흐림 #여름 #문화관광 #어트랙션",,,6.761097050000001,자연,산
120,원앙폭포,제주특별자치도 서귀포시 돈내코로 137,"#폭포 #커플 #경관/포토
#여름 #자연경관 #포토스팟",물놀이,트레킹,1.1394227275,자연,산
121,이중섭거주지,제주특별자치도 서귀포시 이중섭로 29,"#문화유적지 #사계절 #문화관광
#역사유적",,,0.4144542191818182,테마파크/테마관광지,유적지
122,제주레포츠랜드,제주특별자치도 제주시 조천읍 와흘상서2길 47,"#액티비티 #아이 #맑음
#체험 #레저/체험 #어린이 #어트랙션",,,1.454362156818182,레저/체험,
125,모슬포항,제주특별자치도 서귀포시 대정읍 신영로36번길 48,"#커플 #친구 #맑음
#해변",,,1.6391605130657607,자연,바다
126,산방산 용머리해안 지질트레일,제주특별자치도 서귀포시 안덕면 사계북로41번길 192,"#지질트레일 #걷기/등산 #친구
#커플 #맑음 #봄 #자연경관 #체험 #언택트 #유네스코 #어트랙션 #봄꽃 #유채꽃",,,4.831688882772545,자연,산
128,신양섭지해수욕장,제주특별자치도 서귀포시 성산읍 섭지코지로 107,"#해수욕장 #액티비티 #커플
#맑음 #여름 #자연경관 #체험 #레저/체험 #해변 #물놀이 #수상레저",,,1.6391605130657607,자연,바다
130,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675,"#휴식/힐링 #테마공원 #커플
#아이 #흐림 #가을 #어린이 #어트랙션 #안전여행스탬프",포토스팟,,12.10127481418182,테마파크/테마관광지,유적지외
131,제주항공우주박물관,제주특별자치도 서귀포시 안덕면 녹차분재로 218 항곡우주박물관,"#실내 #미술/박물관 #아이
#비.눈 #겨울 #우수관광사업체 #실내관광지 #문화관광 #박물관 #어트랙션",공연/전시,,5.3393316432910085,공연/전시,
133,일출랜드,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,"#테마공원 #아이 #맑음
#우수관광사업체 #실내관광지 #어트랙션 #안전여행스탬프 #가족 #체험 #곶자왈",포토스팟,,0.1276678368181818,레저/체험,
134,탑동,제주특별자치도 제주시 중앙로 2,"#밤 #일몰 #해변
#휴식/힐링 #흐림 #여름",,,4.224147250214617,자연,바다
135,성산일출봉(UNESCO 세계자연유산),제주특별자치도 서귀포시 성산읍 일출로 284-12,"#일출 #오름 #경관/포토
#부모 #자연경관 #포토스팟 #유네스코",등산,산책로. 올레코스. 오름,7.606409026090909,자연,산
138,이중섭미술관,제주특별자치도 서귀포시 이중섭로 27-3,"#예술 #실내 #미술/박물관
#커플 #비.눈 #겨울 #문화관광 #미술관 #실내관광지 #어트랙션",공연/전시,,2.984977447181818,공연/전시,
139,제주대학교 가는길,제주특별자치도 제주시 제주대학로 102,"#걷기/등산 #맑음 #도보여행
#도보 #봄꽃 #벚꽃",,,1.5251827666666664,자연,산
145,제주공룡랜드[휴장중],제주특별자치도 제주시 애월읍 광령평화2길 1,"#테마공원 #아이 #가을
#실내관광지 #어린이 #어트랙션",공연/전시,,0.94282397787324,테마파크/테마관광지,유적지외
147,한라수목원,제주특별자치도 제주시 수목원길 72,"#수목원 #휴식/힐링 #테마공원
#부모 #아이 #맑음 #여름 #자연경관 #어린이 #동백",등산,산책로,0.7152281137000001,자연,
148,붉은오름 자연휴양림,제주특별자치도 서귀포시 표선면 남조로 1487-73,"#휴양림 #걷기/등산 #휴식/힐링
#커플 #흐림 #가을 #자연경관 #도보여행 #도보",등산,"등산로, 산책로",4.831688882772545,자연,산
149,제주현대미술관,제주특별자치도 제주시 한경면 저지14길 35,"#예술 #실내 #미술/박물관
#커플 #흐림 #겨울 #실내관광지 #미술관 #문화관광 #어트랙션 #포토스팟 #제주명품42 #제주7대건축물",공연/전시,,7.082343576090907,공연/전시,
151,관음사,제주특별자치도 제주시 산록북로 660,"#템플스테이 #산 #휴식/힐링
#흐림 #봄 #한라산 #언택트 #어트랙션 #단풍",,,12.081734682909094,자연,산
152,동굴의 다원 다희연,제주특별자치도 제주시 조천읍 선교로 266,"#동굴 #테마공원 #커플
#흐림 #겨울 #자연경관 #녹차",,,1.204369187904762,자연,
157,제주해양동물박물관,제주특별자치도 서귀포시 성산읍 서성일로 689-21,"#실내 #미술/박물관 #아이
#비.눈 #사계절 #실내관광지 #문화관광 #박물관 #어린이 #어트랙션 #어린이동물농장 #안전여행스탬프",,,2.922076029545454,공연/전시,
158,혼인지,제주특별자치도 서귀포시 성산읍 혼인지로 39-22,"#문화유적지 #맑음 #문화관광
#역사유적 #수국","체험,포토스팟",,0.4368766248181818,테마파크/테마관광지,유적지
159,테디베어뮤지엄제주,제주특별자치도 서귀포시 중문관광로110번길 31,"#실내 #테마공원 #아이
#비.눈 #겨울 #실내관광지 #어트랙션 #안전여행스탬프","포토스팟,공연/전시",,11.6917416557,테마파크/테마관광지,유적지외
162,삼성혈,제주특별자치도 제주시 삼성로 22,"#문화유적지 #부모 #맑음
#우수관광사업체 #자연경관 #문화관광 #역사유적 #봄꽃 #벚꽃",공연/전시,,1.5062685422999995,테마파크/테마관광지,유적지
163,1100고지(휴게소),제주특별자치도 서귀포시 1100로 1555,"#산 #경관/포토 #흐림
#겨울 #포토스팟 #한라산 #언택트 #어트랙션 #제주명품42 #제주7대도로",,,7.320644155399999,자연,
165,물영아리오름,제주특별자치도 서귀포시 남원읍 남조로 988-11,"#일출 #오름 #걷기/등산
#흐림 #여름 #자연경관 #도보여행 #도보 #언택트",,,0.606514062,자연,산
166,민속자연사박물관,제주특별자치도 제주시 삼성로 40,"#실내 #미술/박물관 #아이
#비.눈 #겨울 #실내관광지 #문화관광 #박물관 #어트랙션",공연/전시,,2.8641762072000003,공연/전시,
169,서귀포항,제주특별자치도 서귀포시 칠십리로72번길 14,"#친구 #커플 #일출
#밤 #부모 #혼자 #아이 #맑음 #휴식/힐링 #일몰 #어린이",,,2.872060077636364,자연,
170,소천지,제주특별자치도 서귀포시 칠십리로485번길 2,"#해변 #경관/포토 #가을
#자연경관 #포토스팟",,,1.6118742578999998,자연,바다
172,알작지해변,제주특별자치도 제주시 테우해안로 60,"#해변 #경관/포토 #커플
#가을 #자연경관 #포토스팟",,,0.2961622542,자연,바다
175,제주커피박물관 바움 Baum,제주특별자치도 서귀포시 성산읍 서성일로1168번길 89-17,"#실내 #미술/박물관 #친구
#커플 #비.눈 #겨울 #실내관광지 #문화관광 #박물관 #어트랙션",,,10.111572423909092,공연/전시,
179,넥슨컴퓨터박물관,제주특별자치도 제주시 1100로 3198-8,"#우수관광사업체 #실내 #테마공원
#아이 #비.눈 #겨울 #실내관광지 #문화관광 #박물관 #어트랙션 #안전여행스탬프","공연/전시,체험",,5.907151951990955,테마파크/테마관광지,유적지외
180,더마파크,제주특별자치도 제주시 한림읍 월림7길 155,"#승마 #실내 #액티비티
#아이 #맑음 #사계절 #체험 #레저/체험 #어린이 #테마공원 #어트랙션","체험,공연/전시",,26.58116842833333,레저/체험,승마
185,제주곶자왈도립공원,제주특별자치도 서귀포시 대정읍 에듀시티로 178,"#숲길 #걷기/등산 #커플
#흐림 #자연경관 #도보여행 #도보 #곶자왈 #숲 #어트랙션",기타,산책로,3.1012857287272726,자연,산
186,제주목관아,제주특별자치도 제주시 관덕로 25,"#문화유적지 #흐림 #맑음
#사계절 #실내관광지 #역사유적 #어트랙션 #제주명품42 #제주7대건축물 #사적지 #문화재 #문화관광",공연/전시,,0.8807936306,테마파크/테마관광지,유적지
188,교래자연휴양림,제주특별자치도 제주시 조천읍 남조로 2023,"#휴양림 #걷기/등산 #휴식/힐링
#부모 #아이 #흐림 #여름 #자연경관 #단풍 #어린이",,,4.831688882772545,자연,산
195,우도잠수함(제주씨월드),제주특별자치도 서귀포시 성산읍 성산등용로 130-21,"#액티비티 #부모 #아이
#체험 #레저/체험 #어린이 #수상레저 #어트랙션",,,179.49579699999998,레저/체험,유람선&잠수함
200,우도잠수함(제주씨월드),제주특별자치도 서귀포시 성산읍 성산등용로 130-21,"#액티비티 #부모 #아이
#체험 #레저/체험 #어린이 #수상레저 #어트랙션",,,179.49579699999998,레저/체험,유람선&잠수함
204,제주유리박물관,제주특별자치도 서귀포시 중산간서로 1403,"#밤 #실내 #미술/박물관
#친구 #아이 #흐림 #가을 #실내관광지 #문화관광 #박물관 #어트랙션","공연/전시,포토스팟",,9.411031198500002,공연/전시,
206,가뫼물,제주특별자치도 서귀포시 남원읍 남위남성로 168,"#체험관광 #아이 #겨울
#감귤 #자연경관 #어린이 #어트랙션",,,0.5384768256363637,자연,
207,구엄리돌염전,제주특별자치도 제주시 애월읍 애월해안로 708,"#일몰 #해변 #문화유적지
#맑음 #가을 #자연경관 #역사유적 #어트랙션",,,1.0705070975864834,테마파크/테마관광지,유적지
208,노루생태관찰원,제주특별자치도 제주시 명림로 520,"#액티비티 #아이 #흐림
#맑음 #자연경관 #체험 #레저/체험 #어린이 #어트랙션",공연/전시,,0.8180999064545454,자연,
211,새섬,제주특별자치도 서귀포시 남성중로 40,"#경관/포토 #맑음 #자연경관
#섬속의섬 #포토스팟",,,1.5257111837,자연,바다
215,한라생태숲,제주특별자치도 제주시 516로 2596,"#부모 #커플 #혼자
#친구 #아이 #맑음 #휴식/힐링 #자연경관 #숲 #어린이",기타,"산책로, 휴양림",12.213382603499998,자연,
216,건강과성박물관,제주특별자치도 서귀포시 안덕면 일주서로 1611,"#실내 #미술/박물관 #커플
#비.눈 #사계절 #실내관광지 #문화관광 #박물관 #어트랙션",공연/전시,,10.268741196454544,공연/전시,
218,돈내코유원지,제주특별자치도 서귀포시 돈내코로 120,"#계곡 #액티비티 #아이
#맑음 #여름 #체험 #레저/체험 #어린이 #수상레저 #어트랙션 #물놀이",,,0.1530233812,자연,바다
219,렛츠런파크,제주특별자치도 제주시 애월읍 평화로 2144,"#승마 #액티비티 #아이
#맑음 #체험 #레저/체험 #어린이 #테마공원 #어트랙션","체험,기타,공연/전시",,6.519183083334583,레저/체험,승마
224,신비의도로,제주특별자치도 제주시 1100로 2894-63,"#아이 #맑음 #자연경관
#어린이 #드라이브",기타,도로,0.9501335423636365,레저/체험,드라이브
225,위미항,제주특별자치도 서귀포시 남원읍 위미중앙로196번길 6-13,"#해변 #여자 #남자
#맑음 #언택트",,,6.269902254000001,자연,바다
226,제주별빛누리공원[제한적운영중],제주특별자치도 제주시 선돌목동길 60,"#밤 #테마공원 #아이
#겨울 #실내관광지 #어린이 #어트랙션",공연/전시,,0.3442199544545454,테마파크/테마관광지,유적지외
227,제주센트럴파크,제주특별자치도 제주시 조천읍 비자림로 606,"#테마공원 #아이 #봄
#어린이",공연/전시,,7.598186064272728,테마파크/테마관광지,유적지외
229,제주올레 5코스,제주특별자치도 서귀포시 남원읍 남태해안로 140,"#올레 #걷기/등산 #친구
#혼자 #맑음 #여름 #자연경관 #도보여행 #도보",,,0.3648197447272727,자연,바다
233,낙천리아홉굿의자마을,제주특별자치도 제주시 한경면 낙수로 97,"#휴식/힐링 #아이 #맑음
#가을 #문화관광 #마을산책 #마을관광 #어린이 #어트랙션",,,0.140298984,테마파크/테마관광지,유적지외
237,자구리공원,제주특별자치도 서귀포시 칠십리로 145,"#부모 #커플 #혼자
#친구 #아이 #맑음 #밤 #자연경관 #어린이",,,7.696437739090908,자연,
239,제주도립김창열미술관,제주특별자치도 제주시 한경면 용금로 883-5,"#미술/박물관 #저지예술인마을 #저지리
#예술 #실내관광지 #문화관광 #미술관 #어트랙션",공연/전시,,15.1699696395,공연/전시,
241,한림항,제주특별자치도 제주시 한림읍 한림해안로 192,#맑음,,,3.1742327231666665,자연,바다
243,국립제주박물관,제주특별자치도 제주시 일주동로 17,"#실내 #미술/박물관 #친구
#비.눈 #겨울 #실내관광지 #문화관광 #박물관 #어트랙션",공연/전시,,3.2130456903061217,공연/전시,
244,그랑블루 요트투어,제주특별자치도 서귀포시 대포로 174,"#액티비티 #커플 #여름
#체험 #레저/체험 #수상레저 #어트랙션",,,4.295751435399999,레저/체험,해양레저
246,누웨마루거리(구 바오젠),제주특별자치도 제주시 신광로 47,"#커플 #친구 #부모
#혼자 #아이 #사계절 #어린이 #어트랙션",,,10.1419253274,테마파크/테마관광지,유적지외
247,사라봉,제주특별자치도 제주시 사라봉동길 61,"#일몰 #일출 #오름
#걷기/등산 #친구 #겨울 #자연경관",,,0.3797143257,자연,산
249,서귀포천문과학문화관,제주특별자치도 서귀포시 1100로 506-1,"#밤 #실내 #미술/박물관
#겨울 #실내관광지 #어트랙션",공연/전시,,19.32592366333333,공연/전시,
253,저지 예술인 마을,제주특별자치도 제주시 한경면 저지14길 28-4,"#예술 #체험관광 #커플
#흐림 #가을 #문화관광 #마을산책 #마을관광 #어트랙션",,,0.04980402,테마파크/테마관광지,유적지외
259,그리스신화박물관 / 트릭아이미술관,제주특별자치도 제주시 한림읍 광산로 942,"#실내 #테마공원 #아이
#비.눈 #겨울 #실내관광지 #미술관 #문화관광 #박물관 #어트랙션","공연/전시,포토스팟",,10.4405120819,테마파크/테마관광지,유적지외
260,대장금촬영지(제주민속촌),제주특별자치도 서귀포시 표선면 민속해안로 631-34,"#커플 #친구 #부모
#경관/포토 #테마공원 #미술/박물관 #포토스팟",,,10.68145757163636,테마파크/테마관광지,유적지외
267,제주국제컨벤션센터 icc,제주특별자치도 서귀포시 중문관광로 224,"#실내 #친구 #비.눈
#사계절 #실내관광지 #어트랙션",,,5.3393316432910085,공연/전시,
271,천왕사,제주특별자치도 제주시 1100로 2528-111,"#휴식/힐링 #가을 #단풍
#어트랙션",,,5.362854487181819,자연,산
273,초콜릿박물관,제주특별자치도 서귀포시 대정읍 일주서로3000번길 144,"#실내 #미술/박물관 #아이
#비.눈 #겨울 #실내관광지 #문화관광 #박물관 #어트랙션",공연/전시,,6.907881153636364,공연/전시,
