이름,지역,태그,주소,좋아요,찜하기,리뷰,방문했어요,조회,SNS공유,소개,상세정보,이용시간,편의시설,기타상세,상세텍스트,tag_lst,회,흑돼지,초밥,돈카츠,고기국수,생선,이탈리안,햄버거,한식,뚝배기,칼국수,오메기,라면,카페,술,기타,cat_num,cluster_num,co2
평대스낵,제주시 > 구좌,"#분식 #떡볶이 #튀김
#음식 #새우튀김",제주특별자치도 제주시 구좌읍 대수길 7,2,54,11,0,"3,829",1,평대리에서 유명한 분식 전문점,주문마감 16:00 / 연중무휴 / 모든 메뉴 포장가능 / 옥상 실내 모두 반려동물 동반 가능,"평일 : 11:30 ~ 16:00 , 주말 : 11:30 ~ 16:00","현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

반려동물 입장이 가능한 오션뷰 분식집

제주시 평대리에 위치한 종합 분식집인 평대스낵은 반려동물을 같이 동반하여 음식과 함께 여유를 즐길 수 있는 곳이며 옥상에 테이블이 마련되어 있어 바다를 보며 음식을 즐길 수 있다. 이 곳의 메뉴는 달달하며 매콤한 맛을 내는 떡볶이, 신선한 재료를 사용하여 바삭하게 튀긴 한치튀김, 왕새우튀김이 있으며 시원한 생맥주와 와인을 같이 판매하고 있어 음식과 함께 즐길 수 있다. 또한 이 곳 홈페이지나 오프라인 매장에서 떡볶이를 집이나 캠핑에서 간편하게 조리해 먹을 수 있는 밀키트를 판매하고 있으니 참고하면 좋다. 

 ","['분식', '떡볶이', '튀김', '음식', '새우튀김']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1.02
한림칼국수,제주시 > 한림,"#칼국수 #보말 #보말칼국수
#음식 #닭칼국수 #보말죽",제주특별자치도 제주시 한림읍 한림해안로 141,9,194,11,0,"16,204",23,보말칼국수가 유명한 집,일요일 휴무,"평일 : 07:00 ~ 16:00 , 주말 : 07:00 ~ 16:00","공용주차장,현금결제,카드결제,화장실,음료대",,"상세정보
확장됨

한림에 위치한 보말칼국수 맛집

한림에 위치한 한림칼국수는 보말로 맛을 더해 향토음식 전문점으로 보말칼국수와 영양보말죽 등 맛과 영양까지 신경쓴 한끼 식사를 제공하고 있다. 제주도 앞바다에서 잡은 싱싱한 재료로 음식에 쓰이는 모든 재료가 국내산 재료이며 그 중 보말은 단연 제주산 보말이다. 메뉴는 총 네가지 메뉴로 보말칼국수, 닭칼국수, 영양보말죽, 매생이보말전이 있으며 메뉴에 따른 공깃밥이 무료로 제공된다. 메뉴에 따라오는 기본 반찬은 겉절이, 깍두기, 젓갈, 무장아찌로 반찬 하나하나에도 신경을 썼다. 분주한 시간대에 편의를 위해 웨이팅 시스템도 갖춰져 있다.","['칼국수', '보말', '보말칼국수', '음식', '닭칼국수', '보말죽']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,1.045
경미네집(경미휴게소),서귀포시 > 성산,"#해물라면 #전복밥 #성게밥
#한식 #음식 #전복죽 #라면",제주특별자치도 서귀포시 성산읍 일출로 259,2,53,10,0,"8,881",5,성산일출봉 초입에 있는 조그마한 한식당,매월 마지막 화요일 휴무,"평일 : 07:30 ~ 18:30 , 주말 : 07:30 ~ 18:30","공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨
경미네집은 성산일출봉 근처에 위치한 소규모 식당이다. 경미네집에서 가장 유명한 메뉴는 해물라면이다. 문어와 오징어, 조개가 듬뿍 들어간 해물라면이 있고 밥은 무료로 제공한다. 그 외에 전복밥이나 성게밥 등 덮밥류가 있는데 당일 잡은 싱싱한 해산물을 이용한다. 싱싱함 덕분에 비린내도 덜해 평소 날음식을 잘 먹지 못하는 이들도 맛있게 먹을 수 있다. 다만 성게밥 같은 경우, 철이 아닐 때에는 먹기가 어려우니 참고하기 바란다. 이곳의 인기를 입증하듯 낙서로 벽면과 천장이 도배되었다. 외국인들도 많이 찾는 곳이라 외국화폐들이 벽면에 붙여져 있는 것도 새로운 풍경이다. 사람이 많아 주차할 공간이 좁으니 근처 성산일출봉에 주차해서 10분쯤 걸어오는 것을 추천한다.","['해물라면', '전복밥', '성게밥', '한식', '음식', '전복죽', '라면']",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,2.45
국수마당,제주시 > 제주시내,"#향토음식 #고기국수 #콩나물국밥
#아강발 #몸국 #음식 #비빔국수 #멸치국수 #콩국수 #만두 #2022고메페스타",제주특별자치도 제주시 삼성로 65,5,72,10,0,"6,466",0,신상공원 후문 앞에 국수거리에 있는 국수마당본점,브레이크타임 없음,"평일 : 08:20 ~ 22:50 , 주말 : 08:20 ~ 22:50","현금결제,카드결제,화장실,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

제주의 토속음식인 고기국수가 유명한 집이다. 고기국수가 유명한 건 말할 것도 없고, 고기국수를 싫어하는 사람도 즐길 수 있게 콩나물국밥, 몸구, 아강발 등 다양한 메뉴가 있다. 
새벽 5까지 영업해서 야식으로도 훌륭하다. 고기국수를 찾는 손님들이 점점 늘어나고 있어서 점심시간에는 대기표를 받을 수도 있다. 
매월 11일은 국수 - DAY라서 500원이 할인되는 메뉴도 있으니 참고. 주변 관광지로는 제주도민속자연사박물관, 제주삼성혈 등이 있다.

 ","['향토음식', '고기국수', '콩나물국밥', '아강발', '몸국', '음식', '비빔국수', '멸치국수', '콩국수', '만두', '2022고메페스타']",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,3,2.1966666666666668
카페세바,제주시 > 조천,"#카페 #곡물라떼 #보리빵
#자몽아이스티 #음식 #빵 #아메리카노 #카페라떼 #카페모카",제주특별자치도 제주시 조천읍 선흘동2길 20-7,0,23,13,0,"3,755",0,"선흘리 돌집 까페, cafe seba",일요일 휴무 / Open 10:20,"평일 : 10:30 ~ 18:00 , 주말 : 10:30 ~ 18:00",,,"상세정보
확장됨

선흘리 길가에서 카페 세바로 가는 길은 곱다. 옹기종기 모인 낮은 집들 사이에 보이는 돌집 하나. 문을 열고 들어서면 푸른색으로 칠해진 주방과 반대편 끝에 벽의 반을 차지하는 큰 창이 있다. 어디든 자리를 잡고 앉으면 돌집에서 느낄 수 있는 서늘함이 기분 좋게 카페 안의 공기를 감싼다. 높은 천장과 서가에 빼곡히 꽂힌 책을 바라보는 것만으로도 휴가라고 느껴지는 곳이다. 카페 주인이 직접 만든 돌집을 카페로 사용하는 곳으로 메뉴로는 커피, 자몽아이스티, 곡물라떼, 제주 보리빵 등이 있다. 아이스초코가 추천메뉴. 녹음이 가득한 정원이 있으며 매장 내부는 빈티지한 분위기로 채광이 좋은 곳. 주차는 마일진입전 길가에 해야 한다.

 ","['카페', '곡물라떼', '보리빵', '자몽아이스티', '음식', '빵', '아메리카노', '카페라떼', '카페모카']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.35
미친부엌,제주시 > 제주시내,"#퓨전 #주점 #크림짬뽕
#혼술 #혼밥 #음식 #회 #해산물 #고등어회 #스시 #초밥 #2022고메페스타",제주특별자치도 제주시 탑동로 15,8,99,10,0,"21,090",6,밤 늦게까지 주류와 퓨전 일식을 즐길 수 있는 음식점. '미친'이라는 상호는 '맛 미'와 '친할 친'의 한자 음가에서 가져왔다.,"월요일 휴무 / 마지막 음식주문은 오후 11시, 술은 11시 20분까지 가능","평일 : 17:30 ~ 24:00 , 주말 : 17:30 ~ 24:00","카드결제,무료 WIFI",,"상세정보
확장됨

맛 미(味)와 친하다의 친(親), 미친부엌은 서두르지 않으면 어김없이 대기순번을 받아야 하는 제주 시내의 소문난 맛집이다.

향토음식이 아닌 퓨전 스타일의 요리주점임에도 제주에서 꼭 가보고 싶은 곳으로 꼽히는 이유는 순발력 있는 창의적인 메뉴와 맛, 젊은이들을 사로잡은 경쾌한 분위기 때문이다. 2015년에 오픈한 이래 열정으로 가게를 일구어 온 공건아 사장의 아이디어는 메뉴 구성 및 상호, 메뉴의 네이밍 등 여러 곳에서 찾아 볼 수 있다. 혼술, 혼밥하는 이들을 위한 고독한 미식가, 고독한 애주가 세트메뉴, 공오빠 크림짬뽕 등은 이름도 재미있지만 맛도 정점을 찍는다.

테이블 마다 놓이는 말린 새우(새우깡)만 먹어봐도 이 집 요리들의 맛을 기대할 수밖에 없다. 전체적으로 맛, 분위기 모두 훌륭한 기분 좋은 집이다.


골목 안쪽에 위치했지만 파란색 외관에 노란 불이 새어 나오는 가게는 멀리서도 단박에 눈에 들어온다. 대기자들이 기다릴 수 있도록 가게 앞엔 벤치가 놓여 있다. 소문난 맛집인 만큼 항상 사람들로 가득차 있다. 분위기가 좋아 술이 술술 들어간다. 비교적 영업시간이 길어 2차로 오기에도 좋다. 술을 부르는 분위기, 바 좌석은 혼술 혼밥족들을 환영한다.

살짝 칼칼하게 매운 맛도 있는 크림짬뽕은 이 집의 최고 인기 메뉴다. 크림이 들어갔지만 전혀 느끼하지 않다.

말린 새우는 공짜로 먹기엔 미안할 정도의 고퀄리티 안주메뉴다. 이거 하나로만도 맥주 한 잔을 비울 정도, 리필이 가능하다. 창란크림치즈는 꿀과 크림치즈, 창란젓의 오묘한 조화가 있는 인기메뉴다. 가격도 저렴하고 술안주로도 최고다.

 ","['퓨전', '주점', '크림짬뽕', '혼술', '혼밥', '음식', '회', '해산물', '고등어회', '스시', '초밥', '2022고메페스타']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,1.31
슬슬슬로우,제주시 > 구좌,"#돔베고기샌드위치 #돔베라면 #돔베덮밥
#음식 #돔베고기 #김밥 #라면",제주특별자치도 제주시 구좌읍 행원로7길 23-8,2,72,10,0,"6,087",1,흑돼지를 제주식으로 수육하여 도마에 바로 올려내는 향토음식의 재해석,"현장예약제(전화예약불가), 불규칙휴무(인스타 및 전화 확인)","평일 : 11:30 ~ 19:00 , 주말 : 11:30 ~ 19:00","현금결제,카드결제,화장실,음료대",,"상세정보
확장됨

슬슬슬로우는 월정리 해안도로를 동쪽에 자리하고 있다. 사람들이 많이 찾는 관광지에서 약간 벗어난 곳이기 때문에 교통도 혼잡하지 않고 차를 대기에도 좋은 위치이다. 
입구부터 내부까지 감성적인 문구가 붙어있고 아기자기한 소품들이 놓여 있는 빈티지한 분위기라 사진 찍기 좋다.


슬슬슬로우는 돔베고기를 곁들인 요리들을 중심으로 판매하는데, 흑돼지를 제주 식으로 삶아 도마에 올려내는 제주 향토음식인 돔베고기를 새롭게 해석하여 메뉴를 구성한다. 대표 메뉴는 돔베라면, 돔베덮밥, 그리고 돔베땡초김밥 세 가지로, 메뉴에 돔베고기를 추가로 주문할 수 있어 취향에 맞게 먹을 수 있다.

 ","['돔베고기샌드위치', '돔베라면', '돔베덮밥', '음식', '돔베고기', '김밥', '라면']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,1.9949999999999999
유동커피,서귀포시 > 서귀포시내,"#카페 #커피 #음료
#스페셜커피 #음식 #아메리카노 #카페라떼 #콜드브루",제주특별자치도 서귀포시 태평로 406-2,1,30,10,0,"3,277",2,"A, B, C 타입별 커피를 고를 수 있고 검증된 커피 맛으로 승부하는 유동 커피",휴무 없음,"평일 : 08:00 ~ 22:00 , 주말 : 08:00 ~ 22:00","현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

넓진 않지만 독특한 인테리어와 검증된 커피 맛 때문에 많은 사람들이 찾는 핫플레이스다.
2016년 골든 커피 어워드 조직 위원회에서 수여하는 골든 커피 어워드를 수상했다.
이 밖에도 매장엔 대표 조유동씨가 받은 상장과 자격증 등이 자랑스럽게 걸려있다.
이곳에서 유동커피의 스페셜 커피 A, B, C 타입 중 하나를 골라 맛볼 수 있다.
이중섭거리 인근에 위치하여 커피 한 잔 후엔 이중섭거리를 둘러보는 것도 나쁘지 않다.

 ","['카페', '커피', '음료', '스페셜커피', '음식', '아메리카노', '카페라떼', '콜드브루']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.35
교래손칼국수,제주시 > 조천,"#메밀야채전 #칼국수 #토종닭칼국수
#바지락칼국수 #음식 #보말칼국수 #닭칼국수 #닭개장칼국수",제주특별자치도 제주시 조천읍 비자림로 645,6,88,9,1,"10,881",9,"직접 손으로 반죽하고 뽑는 생면, 진한 닭국물이 인상적인 닭칼국수로 유명한 집이다. 성산 고등학교 제주 버스 정류장 바로 앞에 위치하고 있다.",매주 수요일 휴무. 3시 전 방문 시 예약 권장.,"평일 : 10:50 ~ 18:30 , 주말 : 10:50 ~ 18:30","공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역",,"상세정보
확장됨
진한 닭국물에 쫄깃한 면발이 일품인 칼국수 맛이 유명한 곳으로, 석조 외관으로 제주의 느낌을 살린 외관이 특징적이다. 넓은 주차장을 갖춘 것은 물론 성산 고등학교 제주 버스 정류장 바로 앞에 위치하고 있어 방문하기도 매우 편하다. 근처 관광지로는 4.3 평화공원 기념관, 거문오름, 사려니숲길과 마방목장 등이 있다.

180 석을 갖춘 내부는 매우 넓은 편이다. 하지만 항시 손님들로 붐벼 대기해야 하는 일이 잦다. 특히 점심 손님이 많기 때문에 3시 이전 방문자들은 예약할 것을 권장한다.

토종닭의 풍미를 느낄 수 있는 토종닭칼국수와 시원한 국물 맛이 일품인 바지락 칼국수를 제공하며, 기타 메뉴로는 따끈한 메밀야채전을 갖추고 있다.
초록빛이 건강해 보이는 칼국수는 모두 직접 손으로 반죽하여 뽑는다. 더불어 이 생면은 주문을 받자마자 바로 요리 한다. 때문에 주문하고 난 후 끓이는 시간 약 20~30분이 필요하다. 같은 이유로 주문은 한꺼번에 할 것을 권장한다. 따로 따로 주문할 경우 대기시간이 더욱 추가되기 때문이다.
토종닭이 유명한 조천읍 교래리에 위치해 있는 만큼 가장 유명한 것은 진한 닭국물이 일품인 토종닭칼국수다. 그 유명세 때문에 얼마 전에는 인도네시아의 전 대통령이 다녀가기도 했다.

함께 곁들여 먹는 깍두기와 배추김치의 깔끔하고 개운한 맛이 입맛을 돋운다. 진한 국물과 먹으면 맛이 두 배가 되는 메밀야채전도 주문해 보자. 어느 것이나 간편하고 맛있게 먹을 수 있으니 20년간 사랑 받는 것은 당연하다.
 ","['메밀야채전', '칼국수', '토종닭칼국수', '바지락칼국수', '음식', '보말칼국수', '닭칼국수', '닭개장칼국수']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,1.045
동복리해녀촌,제주시 > 구좌,"#전복죽 #회국수 #성게국수
#음식 #물회 #한치물회 #전복물회 #문어물회 #소라물회 #고등어구이 #한치",제주특별자치도 제주시 구좌읍 동복로 33,0,44,9,1,"7,222",2,동복리에 위치한 회국수 맛집,"명절 연휴 휴무 / 휴무- 월 둘째주, 넷째주 화요일","평일 : 09:00 ~ 19:00 , 주말 : 09:00 ~ 19:00","현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨
탱글탱글 신선한 회를 매콤하게 무쳐 국수와 함께 내는 회 국수는 동복리 해녀촌의 인기 메뉴이다. 일반 국수와 다를 바 없어 보이지만 커다란 접시에 한가득 나오는 회와 굵은 면발은 가격도 저렴할 뿐 아니라 양도 푸짐하다. 동복리 해녀회에서 운영하기 때문에 언제나 싱싱한 횟감으로 국수를 말아 계절에 따라 다른 회 국수를 맛볼 수 있다. 성게알이 가득 들어간 성게 국수 또한 별미 중 하나이다.
 ","['전복죽', '회국수', '성게국수', '음식', '물회', '한치물회', '전복물회', '문어물회', '소라물회', '고등어구이', '한치']",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1.71
명당양과,제주시 > 제주시내,"#빵집 #베이커리 #디저트
#쑥찐빵 #우유식빵 #음식 #빵 #밤식빵 #수제마카롱 #생크림케익 #2022고메페스타",제주시 원노형로 83,20,67,9,0,"11,085",6,옛날 스타일의 빵집이지만 모든 재료를 직접 만들어 신선한 빵을 맛볼 수 있는 1980년부터 시작한 제주 토종브랜드로 2대째 대를 이어 운영,"첫째,셋째 일요일 휴무","평일 : 07:00 ~ 00:30 , 주말 : 07:00 ~ 00:30",무료 WIFI,,"상세정보
확장됨

명당양과는 1980년부터 시작한 제주 토종 브랜드이며 2대째 대를 이어 운영을 하고 있다.
유기농 밀가루와 천연발효종을 이용한 빵과 국내산 쌀가루로 만든 쌀빵부터 직접 끓인 팥을 사용하여 팥빵과
빙수에 사용하고 있으며,
그 외에 제주산 마늘을 사용한 마늘 바게트 등 오래된 빵부터 트랜디한 빵과 디저트까지 다양한 제품이 준비되어 있다.

대표메뉴
쑥찐빵, 순쌀식빵, 우유식빵, 마늘스틱(3개)

예약, 포장, 배달이 가능하며,

제주에서 오래된 빵집. 옛날 스타일의 빵집이지만 모든 재료를 직접 만들어 신선한 빵을 맛볼 수 있습니다.
쑥 찐빵이 특히 유명한 대표 메뉴로 손꼽힌다.","['빵집', '베이커리', '디저트', '쑥찐빵', '우유식빵', '음식', '빵', '밤식빵', '수제마카롱', '생크림케익', '2022고메페스타']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.35
바당봉봉,제주시 > 구좌,"#커피 #음료 #카페
#음식 #빵 #디저트 #아메리카노 #딸기스무디 #스무디 #망고스무디",제주 제주시 구좌읍 해맞이해안로 1170,1,20,9,1,"3,036",2,평대해수욕장 근처의 바닷가 옆에 위치한 야외 및 옥상 미니 테라스가 있는 카페,연중무휴,"평일 : 10:30 ~ 19:30 , 주말 : 10:30 ~ 19:30","현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

평대해수욕장 인근에 위치한 옥상 미니 테라스와 야외 테이블이 있는 바다 옆 카페이다. 제주 옛집을 이용한 인테리어가 돋보이는 곳이다.

 ","['커피', '음료', '카페', '음식', '빵', '디저트', '아메리카노', '딸기스무디', '스무디', '망고스무디']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.35
복자씨연탄구이,서귀포시 > 성산,"#근고기 #흑돼지 #김치찌개
#음식 #흑돼지구이",제주특별자치도 서귀포시 성산읍 해맞이해안로 2764,2,70,9,0,"7,742",4,우도와 지미봉을 바라보며 즐기는 진짜배기 흑돼지 구이,연중무휴,"평일 : 12:00 ~ 22:00 , 주말 : 12:00 ~ 22:00","공용주차장,현금결제,카드결제,화장실,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

흑돼지구이 전문점인 '복자씨 연탄구이'는 성산일출봉이 있는 성산을 본점으로 하여 서귀포 정방폭포 근처, 함덕에도 지점이 있어 여행 일정에 따라 가까운 지점에 방문할 수 있다. 그중에서도 본점인 성산에서는 정면으로는 우도가 보이고 왼편으로는 지미봉을 찾아볼 수 있는 아름다운 경치를 감상하며 식사를 즐길 수 있다. 복자씨연탄구이에서 근고기를 주문하면 목살과 오겹살이 함께 나온다. 흑돼지와 함께 나오는 멜젓은 고기 불판 밑으로 넣는데, 끓기 시작하면 스태프가 직접 불판 위로 꺼내준다. 근고기 또한 스태프가 먹기 좋게 잘라준다. 고기 외에 추가로 주문할 수 있는 김치찌개에도 제주 흑돼지가 들어가 있다.

 ","['근고기', '흑돼지', '김치찌개', '음식', '흑돼지구이']",0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,3,1.9133333333333333
사형제횟집,제주시 > 한림,"#딱새우 #고등어회 #횟집
#음식 #회 #광어회",제주특별자치도 제주시 한림읍 한림상로 273,3,46,9,0,"8,334",4,푸짐한 곁들이찬에 놀라는 횟집,둘째주 넷째주 월요일 휴무,"평일 : 11:00 ~ 22:00 , 주말 : 11:00 ~ 22:00","공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

한림항에서 가까우며 수원초등학교 근처 사거리에 위치한 횟집이다. 비교적 큰 도로변에 위치하여 찾기도 수월하다. 1, 2층으로 나누어져 있으며 등받이가 있는 좌식 테이블로 되어 있다. 유명하기 때문에 여러 유명 인사들의 사인이 벽에 걸려 있다.

사형제 횟집은 다양한 곁들이찬, 싱싱한 딱새우 그리고 고등어회로도 유명하다. 회를 주문하면 생으로 먹을 수 있는 딱새우와 약 30가지 정도 되는 곁들이찬이 테이블을 가득 채운다. 곁들이찬은 전복, 해초, 새우, 소라, 참치회, 문어회, 고등어회, 갈치회 등으로 구성되어 있다. 마지막엔 칼칼한 매운탕이나 지리로 마무리.

 ","['딱새우', '고등어회', '횟집', '음식', '회', '광어회']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.05
아뜰리에 제주명월,서귀포시 > 안덕,"#카페 #디저트 #티라미수
#음식 #아메리카노 #카페라떼 #빵 #딸기스무디 #자몽에이드",제주특별자치도 서귀포시 안덕면 병악로 31,1,29,9,0,"3,144",0,녹차티라미스가 유명한 서귀포 안덕면의 디저트 카페,휴무일 SNS 공지,"평일 : 11:00 ~ 18:00 , 주말 : 11:00 ~ 18:00",,,"상세정보
확장됨

높은 천장에 설치된 깔끔한 느낌의 캐노피와 곳곳에 설치된 식물들이 모던한 느낌을 더해주는 곳. 여성 관광객들이라면 인생사진을 찍기 위한 필수코스다. 
아늑한 분위기와 이곳만의 메뉴는 남성들까지 매력을 느낄 정도이다.
영귤차와 촉촉한 녹차 티라미수를 함께 곁들이면 여행의 피로가 스르륵 녹는다.

 ","['카페', '디저트', '티라미수', '음식', '아메리카노', '카페라떼', '빵', '딸기스무디', '자몽에이드']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.35
양가형제,제주시 > 한경,"#버거 #수제버거 #맥주
#음료 #음식 #햄버거 #치즈버거 #감자튀김 #어니언링",제주특별자치도 제주시 한경면 청수동8길 3,3,47,9,0,"9,066",6,방치된 마을회관을 리모델링한 수제버거집,"매주 목요일 휴무, 브레이크타임 15:00 ~ 16:00, 마지막 주문은 18:30 까지","평일 : 11:00 ~ 19:30 , 주말 : 11:00 ~ 19:30","공용주차장,현금결제,카드결제,화장실,음료대",,"상세정보
확장됨

양가형제는 방치된 마을회관을 리모델링한 수제버거집이다.
이 곳은 반딧불이 최대 서식지 청수곶자왈의 마을 한경면 청수리 평화동의 옛 마을회관을 길종상가와 함께 현대적 쓰임에 맞게 재생시킨 복합문화공간이다.
수제버거와 크래프트비어를 제공하고 있으며, 매일 지역 식자재로 햄버거 빵부터 패티까지 자체적으로 조리한다.
또한 합리적인 가격으로 여러 풍미의 맥주를 즐길 수 있다.
연중 다양한 기획으로 각종 문화행사가 열리니 참고. 근처 관광지로는 오설록티뮤지엄, 제주항공우주박물관, 소인국테마파크, 제주신화월드 등이 있다.

 ","['버거', '수제버거', '맥주', '음료', '음식', '햄버거', '치즈버거', '감자튀김', '어니언링']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2.65
국수바다 본점,서귀포시 > 서귀포시내,"#고기국수 #성게국밥 #회국수
#비빔국수 #음식 #돔베고기 #밀면 #왕만두",제주특별자치도 서귀포시 일주서로 982,2,92,10,1,"11,113",7,제주산 오겹살을 넣은 고기국수와 해산물이 있는 성게국밥으로 원기 회복,"이용시간(7~9월 21:30까지) 휴무일(첫째,셋째 목요일,7~9월달엔 휴무 없음)","평일 : 08:00 ~ 21:00 , 주말 : 08:00 ~ 21:00","공용주차장,현금결제,카드결제,화장실",,"상세정보
확장됨
볼거리가 많은 서귀포 중문에는 고기국수로 유명한 국수바다가 있다. 유명 맛집 프로그램에 나온 후 많은 사람들이 찾는 곳으로 넓은 주차장과 테이블이 있어 대기시간이 그리 길지 않다. 

이곳의 고기국수는 직접 반죽하고 뽑아낸 생면과 12시간 이상 푹 고아 낸 육수, 제주산 최고급 오겹살이 푸짐하게 들어가 있어 대식가도 배불리 먹을 수 있다. 또한 매콤하고 새콤한 소스가 일품인 비빔국수도 인기있는 메뉴로, 고기국수의 국물과 같이 먹으면 더욱 감칠맛이 난다. 

그 외에 메뉴로는 성게알, 자연산 전복, 생미역, 바지락, 굴 등 해산물들이 어우러져 깊은 맛을 내며 부드러운 성게국밥이 있다. 여행 중 지치거나 전날 숙취로 인해 몸이 피곤할 때 원기 회복제가 따로 없다.","['고기국수', '성게국밥', '회국수', '비빔국수', '음식', '돔베고기', '밀면', '왕만두']",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4,4,2.1599999999999997
연미정,제주시 > 구좌,"#전복구이 #전복죽 #전복가마솥밥
#전복회 #음식 #전복 #전복뚝배기",제주특별자치도 제주시 세평항로 14,4,56,9,0,"5,384",5,전복 가마솥 밥이 유명한 세화민속 오일장 근처의 맛집,"첫째, 셋째주 수요일 휴무","평일 : 09:00 ~ 21:00 , 주말 : 09:00 ~ 21:00","공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

구좌읍 월정리 해변에 위치한 전복요리 전문점이다. 입구의 커다란 돌하르방이 인상적이다. 메뉴는 비교적 단출한 편. 대표 메뉴는 전복 가마솥 밥이고, 그 밖에 전복회, 전복구이, 전복죽도 인기가 많다. 가마솥 밥에는 1인용 가마솥에 전복 내장을 듬뿍 머금은 밥, 전복, 그리고 노란 호박이 들어있다. 아랫단은 적당히 눌러서 밥을 덜어내고, 물을 부어 누룽지탕을 만들 수 있다. 본격적인 하루를 시작하기 전, 든든하게 속을 채우기 위해 아점을 먹으러 오는 관광객들이 적지 않다.

 ","['전복구이', '전복죽', '전복가마솥밥', '전복회', '음식', '전복', '전복뚝배기']",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,3,2.106666666666667
웅스키친,제주시 > 제주시내,"#스테이크 #치아바타 #샌드위치
#파스타 #음식 #함박스테이크 #크림파스타",제주특별자치도 제주시 대동길 17-1,0,34,9,0,"5,073",0,송당리에 위치한 제주식 퓨전 이탈리안 음식점으로 흑돼지로 만든 수제 햄버그스테이크가 유명,"매주 수요일 휴무, 브레이크 타임 15:30~17:00/런치 마지막 주문 14:40/디너 마지막 주문 19:10","평일 : 10:30 ~ 21:00 , 주말 : 10:30 ~ 21:00","공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

제주 제주시 이호동으로 이전한 퓨전 이탈리안 음식점, 웅스키친.

두툼한 패티, 진한 스테이크 소스의 맛, 그리고 계란 반숙이 올라간 제주 흑돼지 햄버그스테이크는 먹기 전 눈으로 봐도 흡족한 콤비네이션이다. 모든 고객들이 조용히 식사를 하면서 오롯이 음식의 맛에 집중할 수 있다.
이곳은 오픈 이후 노키즈존(No Kids Zone, 13세 이하 입장 불가)으로 변경되었다. 주차는 건너편 지정주차장을 이용할 수 있다. 단 이면주차는 불가하다.

 ","['스테이크', '치아바타', '샌드위치', '파스타', '음식', '함박스테이크', '크림파스타']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3.2
