,MCT_NM,naver_keyword,naver_map_url
39,돈이랑,제주도%20돈이랑,https://m.place.naver.com/restaurant/36503433/menu/list
40,둘레길,제주도%20둘레길,https://m.place.naver.com/restaurant/11491447/menu/list
41,듀포레,제주도%20듀포레,https://m.place.naver.com/restaurant/1641688547/menu/list
42,라라라,제주도%20라라라,https://m.place.naver.com/restaurant/1414924101/menu/list
43,로빙화,제주도%20로빙화,https://m.place.naver.com/restaurant/810995268/menu/list
44,리볼버,제주도%20리볼버,https://m.place.naver.com/restaurant/1997207951/menu/list
45,마일스,제주도%20마일스,https://m.place.naver.com/restaurant/1065019053/menu/list
46,마틸다,제주도%20마틸다,https://m.place.naver.com/restaurant/36543262/menu/list
47,먹고정,제주도%20먹고정,https://m.place.naver.com/restaurant/16906907/menu/list
48,몽그레,제주도%20몽그레,https://m.place.naver.com/restaurant/36636561/menu/list
49,무용담,제주도%20무용담,https://m.place.naver.com/restaurant/1214313926/menu/list
50,문치비,제주도%20문치비,https://m.place.naver.com/restaurant/36132962/menu/list
51,바다다,제주도%20바다다,https://m.place.naver.com/restaurant/38335352/menu/list
52,백록집,제주도%20백록집,https://m.place.naver.com/restaurant/1917333580/menu/list
53,범하다,제주도%20범하다,https://m.place.naver.com/restaurant/1077462362/menu/list
54,별돈별,제주도%20별돈별,https://m.place.naver.com/restaurant/1160940163/menu/list
55,뷰스트,제주도%20뷰스트,https://m.place.naver.com/restaurant/1106105460/menu/list
56,수우동,제주도%20수우동,https://m.place.naver.com/restaurant/36823910/menu/list
57,스카이,제주도%20스카이,https://m.place.naver.com/restaurant/38513808/menu/list
58,싱싱잇,제주도%20싱싱잇,https://m.place.naver.com/restaurant/1669662921/menu/list
59,안도르,제주도%20안도르,https://m.place.naver.com/restaurant/1574419480/menu/list
60,애월당,제주도%20애월당,https://m.place.naver.com/restaurant/1250036232/menu/list
61,애월찜,제주도%20애월찜,https://m.place.naver.com/restaurant/36060798/menu/list
62,양대감,제주도%20양대감,https://m.place.naver.com/restaurant/1284151541/menu/list
63,오드씽,제주도%20오드씽,https://m.place.naver.com/restaurant/1356075799/menu/list
64,오르방,제주도%20오르방,https://m.place.naver.com/restaurant/1632801793/menu/list
65,온오프,제주도%20온오프,https://m.place.naver.com/restaurant/1894902699/menu/list
66,우니담,제주도%20우니담,https://m.place.naver.com/restaurant/1106239393/menu/list
67,이익새,제주도%20이익새,https://m.place.naver.com/restaurant/299612944/menu/list
68,잔물결,제주도%20잔물결,https://m.place.naver.com/restaurant/1916744467/menu/list
69,제갈양,제주도%20제갈양,https://m.place.naver.com/restaurant/16866249/menu/list
70,쪼끌락,제주도%20쪼끌락,https://m.place.naver.com/restaurant/36399029/menu/list
71,착한집,제주도%20착한집,https://m.place.naver.com/restaurant/1131393322/menu/list
72,충민정,제주도%20충민정,https://m.place.naver.com/restaurant/885071561/menu/list
73,칠돈가,제주도%20칠돈가,https://m.place.naver.com/restaurant/20583529/menu/list
74,타쿠마,제주도%20타쿠마,https://m.place.naver.com/restaurant/307022508/menu/list
75,페를로,제주도%20페를로,https://m.place.naver.com/restaurant/1589614745/menu/list
76,풀베개,제주도%20풀베개,https://m.place.naver.com/restaurant/1090905770/menu/list
77,한라원,제주도%20한라원,https://m.place.naver.com/restaurant/1533978056/menu/list
78,해월정,제주도%20해월정,https://m.place.naver.com/restaurant/16880858/menu/list
79,행복밀,제주도%20행복밀,https://m.place.naver.com/restaurant/1026954941/menu/list
80,홍성방,제주도%20홍성방,https://m.place.naver.com/restaurant/16938848/menu/list
81,화로위,제주도%20화로위,https://m.place.naver.com/restaurant/1146885120/menu/list
82,휴일로,제주도%20휴일로,https://m.place.naver.com/restaurant/1277648050/menu/list
83,갈치카페,제주도%20갈치카페,https://m.place.naver.com/restaurant/1648676466/menu/list
84,까망돼지,제주도%20까망돼지,https://m.place.naver.com/restaurant/34818244/menu/list
85,꼬스덴뇨,제주도%20꼬스덴뇨,https://m.place.naver.com/restaurant/1928288067/menu/list
86,남경미락,제주도%20남경미락,https://m.place.naver.com/restaurant/11541774/menu/list
87,달콤다락,제주도%20달콤다락,https://m.place.naver.com/restaurant/37727867/menu/list
88,대풍미락,제주도%20대풍미락,https://m.place.naver.com/restaurant/19867519/menu/list
89,랍스터빈,제주도%20랍스터빈,https://m.place.naver.com/restaurant/1164066100/menu/list
90,램앤블랙,제주도%20램앤블랙,https://m.place.naver.com/restaurant/1609519097/menu/list
91,만선식당,제주도%20만선식당,https://m.place.naver.com/restaurant/11851700/menu/list
92,무거버거,제주도%20무거버거,https://m.place.naver.com/restaurant/70213029/menu/list
93,뮤직박스,제주도%20뮤직박스,https://m.place.naver.com/restaurant/37529835/menu/list
94,뮤직타워,제주도%20뮤직타워,https://m.place.naver.com/restaurant/1991607464/menu/list
95,미쁜제과,제주도%20미쁜제과,https://m.place.naver.com/restaurant/1153699096/menu/list
96,미친부엌,제주도%20미친부엌,https://m.place.naver.com/restaurant/36772248/menu/list
97,보룡제과,제주도%20보룡제과,https://m.place.naver.com/restaurant/1012108385/menu/list
98,봉성식당,제주도%20봉성식당,https://m.place.naver.com/restaurant/17028601/menu/list
99,브루클린,제주도%20브루클린,https://m.place.naver.com/restaurant/1665072427/menu/list
100,블랑로쉐,제주도%20블랑로쉐,https://m.place.naver.com/restaurant/772362739/menu/list
101,삼무국수,제주도%20삼무국수,https://m.place.naver.com/restaurant/16855821/menu/list
102,색달바당,제주도%20색달바당,https://m.place.naver.com/restaurant/1089452165/menu/list
103,섬소나이,제주도%20섬소나이,https://m.place.naver.com/restaurant/34754552/menu/list
104,수돈가스,제주도%20수돈가스,https://m.place.naver.com/restaurant/1839448078/menu/list
105,스시망고,제주도%20스시망고,https://m.place.naver.com/restaurant/1475860849/menu/list
106,스시애월,제주도%20스시애월,https://m.place.naver.com/restaurant/340224722/menu/list
107,스타박스,제주도%20스타박스,https://m.place.naver.com/restaurant/16928424/menu/list
108,신의한모,제주도%20신의한모,https://m.place.naver.com/restaurant/37116020/menu/list
109,심야식당,제주도%20심야식당,https://m.place.naver.com/restaurant/1048542402/menu/list
110,아줄레주,제주도%20아줄레주,https://m.place.naver.com/restaurant/1051148650/menu/list
111,양가형제,제주도%20양가형제,https://m.place.naver.com/restaurant/37573076/menu/list
112,어반정글,제주도%20어반정글,https://m.place.naver.com/restaurant/1779237096/menu/list
113,올래국수,제주도%20올래국수,https://m.place.naver.com/restaurant/11866447/menu/list
114,우동카덴,제주도%20우동카덴,https://m.place.naver.com/restaurant/1066096453/menu/list
115,우무공항,제주도%20우무공항,https://m.place.naver.com/restaurant/1880532734/menu/list
116,우유부단,제주도%20우유부단,https://m.place.naver.com/restaurant/37927894/menu/list
117,원앤온리,제주도%20원앤온리,https://m.place.naver.com/restaurant/1256246739/menu/list
118,월령작야,제주도%20월령작야,https://m.place.naver.com/restaurant/1456068886/menu/list
119,유동커피,제주도%20유동커피,https://m.place.naver.com/restaurant/33225737/menu/list
120,일통이반,제주도%20일통이반,https://m.place.naver.com/restaurant/32041782/menu/list
121,잇칸시타,제주도%20잇칸시타,https://m.place.naver.com/restaurant/1074627571/menu/list
122,장인의집,제주도%20장인의집,https://m.place.naver.com/restaurant/1727176524/menu/list
123,정직한돈,제주도%20정직한돈,https://m.place.naver.com/restaurant/1530476773/menu/list
124,제스토리,제주도%20제스토리,https://m.place.naver.com/restaurant/36287983/menu/list
125,제일떡집,제주도%20제일떡집,https://m.place.naver.com/restaurant/13511943/menu/list
126,제주고집,제주도%20제주고집,https://m.place.naver.com/restaurant/1196193188/menu/list
127,제주곰집,제주도%20제주곰집,https://m.place.naver.com/restaurant/35848888/menu/list
128,제주마당,제주도%20제주마당,https://m.place.naver.com/restaurant/16789310/menu/list
129,제주봄날,제주도%20제주봄날,https://m.place.naver.com/restaurant/1949853649/menu/list
130,제주정지,제주도%20제주정지,https://m.place.naver.com/restaurant/36609549/menu/list
131,제주하멜,제주도%20제주하멜,https://m.place.naver.com/restaurant/743206437/menu/list
132,제주하미,제주도%20제주하미,https://m.place.naver.com/restaurant/1199460023/menu/list
133,제주화고,제주도%20제주화고,https://m.place.naver.com/restaurant/1833570050/menu/list
134,카카오칩,제주도%20카카오칩,https://m.place.naver.com/restaurant/1856030400/menu/list
135,카페방주,제주도%20카페방주,https://m.place.naver.com/restaurant/1044598984/menu/list
136,커피템플,제주도%20커피템플,https://m.place.naver.com/restaurant/1275841339/menu/list
137,태희곽지,제주도%20태희곽지,https://m.place.naver.com/restaurant/20341630/menu/list
138,팔팔돼지,제주도%20팔팔돼지,https://m.place.naver.com/restaurant/35014081/menu/list
139,하라케케,제주도%20하라케케,https://m.place.naver.com/restaurant/1214681781/menu/list
140,해녀짬뽕,제주도%20해녀짬뽕,https://m.place.naver.com/restaurant/1160410577/menu/list
141,협재타운,제주도%20협재타운,https://m.place.naver.com/restaurant/1114716415/menu/list
142,호텔샌드,제주도%20호텔샌드,https://m.place.naver.com/restaurant/1089671180/menu/list
143,화산2020,제주도%20화산2020,https://m.place.naver.com/restaurant/1230619475/menu/list
144,황해식당,제주도%20황해식당,https://m.place.naver.com/restaurant/1272584236/menu/list
145,훈남횟집,제주도%20훈남횟집,https://m.place.naver.com/restaurant/1780156244/menu/list
146,흑본오겹,제주도%20흑본오겹,https://m.place.naver.com/restaurant/1199185736/menu/list
147,집의기록1,제주도%20집의기록1,https://m.place.naver.com/restaurant/1438290869/menu/list
148,가람돌솥밥,제주도%20가람돌솥밥,https://m.place.naver.com/restaurant/16929189/menu/list
149,고등어쌈밥,제주도%20고등어쌈밥,https://m.place.naver.com/restaurant/19872990/menu/list
150,고집돌우럭,제주도%20고집돌우럭,https://m.place.naver.com/restaurant/766197218/menu/list
151,구르메스시,제주도%20구르메스시,https://m.place.naver.com/restaurant/1333888438/menu/list
152,금능반지하,제주도%20금능반지하,https://m.place.naver.com/restaurant/1798990572/menu/list
153,기원뚝배기,제주도%20기원뚝배기,https://m.place.naver.com/restaurant/13444882/menu/list
154,김녕오라이,제주도%20김녕오라이,https://m.place.naver.com/restaurant/1528955401/menu/list
155,깡촌흑돼지,제주도%20깡촌흑돼지,https://m.place.naver.com/restaurant/35992593/menu/list
156,난드르바당,제주도%20난드르바당,https://m.place.naver.com/restaurant/36919633/menu/list
157,네거리식당,제주도%20네거리식당,https://m.place.naver.com/restaurant/19873758/menu/list
158,넥스트도어,제주도%20넥스트도어,https://m.place.naver.com/restaurant/1824399841/menu/list
159,늘봄흑돼지,제주도%20늘봄흑돼지,https://m.place.naver.com/restaurant/13444829/menu/list
160,달인회센타,제주도%20달인회센타,https://m.place.naver.com/restaurant/1613929317/menu/list
161,덕인당빵집,제주도%20덕인당빵집,https://m.place.naver.com/restaurant/11611243/menu/list
162,돌담흑돼지,제주도%20돌담흑돼지,https://m.place.naver.com/restaurant/1038108444/menu/list
163,디어브리즈,제주도%20디어브리즈,https://m.place.naver.com/restaurant/1992434633/menu/list
164,레이지펌프,제주도%20레이지펌프,https://m.place.naver.com/restaurant/1306187552/menu/list
165,마노르블랑,제주도%20마노르블랑,https://m.place.naver.com/restaurant/1509572684/menu/list
166,몬스터살롱,제주도%20몬스터살롱,https://m.place.naver.com/restaurant/35125037/menu/list
167,뮤직앤뮤직,제주도%20뮤직앤뮤직,https://m.place.naver.com/restaurant/1970950519/menu/list
168,반디파스타,제주도%20반디파스타,https://m.place.naver.com/restaurant/1776382371/menu/list
169,벨아벨카페,제주도%20벨아벨카페,https://m.place.naver.com/restaurant/1962037865/menu/list
170,봉주르마담,제주도%20봉주르마담,https://m.place.naver.com/restaurant/38712432/menu/list
171,불특정식당,제주도%20불특정식당,https://m.place.naver.com/restaurant/1285282963/menu/list
172,브라보비치,제주도%20브라보비치,https://m.place.naver.com/restaurant/1195073144/menu/list
173,비스트로낭,제주도%20비스트로낭,https://m.place.naver.com/restaurant/81071660/menu/list
174,상상함덕점,제주도%20상상함덕점,https://m.place.naver.com/restaurant/1737919751/menu/list
175,섭지코지로,제주도%20섭지코지로,https://m.place.naver.com/restaurant/12348587/menu/list
176,숙성도중문,제주도%20숙성도중문,https://m.place.naver.com/restaurant/1146342571/menu/list
177,스시마타네,제주도%20스시마타네,https://m.place.naver.com/restaurant/1790890751/menu/list
178,스피닝울프,제주도%20스피닝울프,https://m.place.naver.com/restaurant/66266463/menu/list
179,신화돌담집,제주도%20신화돌담집,https://m.place.naver.com/restaurant/37195363/menu/list
180,애월더선셋,제주도%20애월더선셋,https://m.place.naver.com/restaurant/37191637/menu/list
181,애월빵명장,제주도%20애월빵명장,https://m.place.naver.com/restaurant/1540982509/menu/list
182,엉덩물횟집,제주도%20엉덩물횟집,https://m.place.naver.com/restaurant/448396704/menu/list
183,연동마라도,제주도%20연동마라도,https://m.place.naver.com/restaurant/19765895/menu/list
184,오는정김밥,제주도%20오는정김밥,https://m.place.naver.com/restaurant/1011125170/menu/list
185,우정회센타,제주도%20우정회센타,https://m.place.naver.com/restaurant/36631530/menu/list
186,울트라마린,제주도%20울트라마린,https://m.place.naver.com/restaurant/1289060635/menu/list
187,이스방한상,제주도%20이스방한상,https://m.place.naver.com/restaurant/1209672147/menu/list
188,인디언썸머,제주도%20인디언썸머,https://m.place.naver.com/restaurant/31872062/menu/list
189,인디언키친,제주도%20인디언키친,https://m.place.naver.com/restaurant/702550255/menu/list
190,자리돔횟집,제주도%20자리돔횟집,https://m.place.naver.com/restaurant/16912908/menu/list
191,전망좋은집,제주도%20전망좋은집,https://m.place.naver.com/restaurant/1877931061/menu/list
192,제일성심당,제주도%20제일성심당,https://m.place.naver.com/restaurant/16952124/menu/list
193,제주약수터,제주도%20제주약수터,https://m.place.naver.com/restaurant/1259656724/menu/list
194,제주크랩잭,제주도%20제주크랩잭,https://m.place.naver.com/restaurant/1349608772/menu/list
195,제주향토골,제주도%20제주향토골,https://m.place.naver.com/restaurant/36714280/menu/list
196,중문마사지,제주도%20중문마사지,https://m.place.naver.com/restaurant/64615557/menu/list
197,카페글렌코,제주도%20카페글렌코,https://m.place.naver.com/restaurant/1281784128/menu/list
198,카페보롬왓,제주도%20카페보롬왓,https://m.place.naver.com/restaurant/1379867162/menu/list
199,카페청굴물,제주도%20카페청굴물,https://m.place.naver.com/restaurant/1559169598/menu/list
200,크라운돼지,제주도%20크라운돼지,https://m.place.naver.com/restaurant/1467395655/menu/list
201,큰갯물횟집,제주도%20큰갯물횟집,https://m.place.naver.com/restaurant/37101721/menu/list
202,파라토도스,제주도%20파라토도스,https://m.place.naver.com/restaurant/1554789738/menu/list
203,한라봉스시,제주도%20한라봉스시,https://m.place.naver.com/restaurant/1903527640/menu/list
204,함쉐프키친,제주도%20함쉐프키친,https://m.place.naver.com/restaurant/805039877/menu/list
205,해녀세자매,제주도%20해녀세자매,https://m.place.naver.com/restaurant/1115697217/menu/list
206,해녀잠수촌,제주도%20해녀잠수촌,https://m.place.naver.com/restaurant/11712196/menu/list
207,돈사돈2호점,제주도%20돈사돈2호점,https://m.place.naver.com/restaurant/37664133/menu/list
208,모살물2호점,제주도%20모살물2호점,https://m.place.naver.com/restaurant/1056433527/menu/list
209,오지힐 제주,제주도%20오지힐 제주,https://m.place.naver.com/restaurant/1382577279/menu/list
210,회춘 애월점,제주도%20회춘 애월점,https://m.place.naver.com/restaurant/1586599551/menu/list
211,(주)대유산업,제주도%20(주)대유산업,https://m.place.naver.com/restaurant/85745565/menu/list
212,(주)바다바라,제주도%20(주)바다바라,https://m.place.naver.com/restaurant/1892828298/menu/list
213,(주)산굼부리,제주도%20(주)산굼부리,https://m.place.naver.com/restaurant/11491425/menu/list
214,(주)한림공원,제주도%20(주)한림공원,https://m.place.naver.com/restaurant/11491281/menu/list
215,가시아방국수,제주도%20가시아방국수,https://m.place.naver.com/restaurant/16950110/menu/list
216,국수바다본점,제주도%20국수바다본점,https://m.place.naver.com/restaurant/35372610/menu/list
217,궁중오메기떡,제주도%20궁중오메기떡,https://m.place.naver.com/restaurant/1510573611/menu/list
218,노을해안1014,제주도%20노을해안1014,https://m.place.naver.com/restaurant/1905326757/menu/list
219,도두해녀의집,제주도%20도두해녀의집,https://m.place.naver.com/restaurant/13391363/menu/list
220,돈이랑성산점,제주도%20돈이랑성산점,https://m.place.naver.com/restaurant/37157723/menu/list
221,리틀보라카이,제주도%20리틀보라카이,https://m.place.naver.com/restaurant/1947329475/menu/list
222,미르오메기떡,제주도%20미르오메기떡,https://m.place.naver.com/restaurant/13512790/menu/list
223,산도롱맨도롱,제주도%20산도롱맨도롱,https://m.place.naver.com/restaurant/37053406/menu/list
224,섬나라오메기,제주도%20섬나라오메기,https://m.place.naver.com/restaurant/33122246/menu/list
225,성산갈치맛집,제주도%20성산갈치맛집,https://m.place.naver.com/restaurant/1465526302/menu/list
226,성산스튜디오,제주도%20성산스튜디오,https://m.place.naver.com/restaurant/1323914842/menu/list
227,쇠소깍빵명장,제주도%20쇠소깍빵명장,https://m.place.naver.com/restaurant/1238493751/menu/list
228,스시우도포차,제주도%20스시우도포차,https://m.place.naver.com/restaurant/1020649585/menu/list
229,신우성흑돼지,제주도%20신우성흑돼지,https://m.place.naver.com/restaurant/11607481/menu/list
230,아라파파북촌,제주도%20아라파파북촌,https://m.place.naver.com/restaurant/1528203196/menu/list
231,애월당공항점,제주도%20애월당공항점,https://m.place.naver.com/restaurant/1778851136/menu/list
232,애월은혜전복,제주도%20애월은혜전복,https://m.place.naver.com/restaurant/38704266/menu/list
233,엔츠노래타운,제주도%20엔츠노래타운,https://m.place.naver.com/restaurant/123699226/menu/list
234,제주기장횟집,제주도%20제주기장횟집,https://m.place.naver.com/restaurant/37557926/menu/list
235,제주동백별장,제주도%20제주동백별장,https://m.place.naver.com/restaurant/1885942621/menu/list
236,제주바다해찬,제주도%20제주바다해찬,https://m.place.naver.com/restaurant/1212796945/menu/list
237,제주색달식당,제주도%20제주색달식당,https://m.place.naver.com/restaurant/1722630418/menu/list
238,제주시새우리,제주도%20제주시새우리,https://m.place.naver.com/restaurant/1000529963/menu/list
239,제주오성본점,제주도%20제주오성본점,https://m.place.naver.com/restaurant/37797002/menu/list
240,중문갈치노릇,제주도%20중문갈치노릇,https://m.place.naver.com/restaurant/1575915609/menu/list
241,청파식당횟집,제주도%20청파식당횟집,https://m.place.naver.com/restaurant/16888383/menu/list
242,초록달과자점,제주도%20초록달과자점,https://m.place.naver.com/restaurant/1810016105/menu/list
243,칠돈가직영점,제주도%20칠돈가직영점,https://m.place.naver.com/restaurant/698593343/menu/list
244,하이드브레드,제주도%20하이드브레드,https://m.place.naver.com/restaurant/1020071918/menu/list
245,협재고기부엌,제주도%20협재고기부엌,https://m.place.naver.com/restaurant/1774044671/menu/list
246,vip노래연습장,제주도%20vip노래연습장,https://m.place.naver.com/restaurant/1297821639/menu/list
247,까페 나모나모,제주도%20까페 나모나모,https://m.place.naver.com/restaurant/1582318900/menu/list
248,돈사돈 중문점,제주도%20돈사돈 중문점,https://m.place.naver.com/restaurant/35696852/menu/list
249,숙성도 함덕점,제주도%20숙성도 함덕점,https://m.place.naver.com/restaurant/1300270438/menu/list
250,하이엔드 제주,제주도%20하이엔드 제주,https://m.place.naver.com/restaurant/1828477580/menu/list
251,호텔더본 제주,제주도%20호텔더본 제주,https://m.place.naver.com/restaurant/37899283/menu/list
252,1943제주연동점,제주도%201943제주연동점,https://m.place.naver.com/restaurant/1770074028/menu/list
253,글라글라하와이,제주도%20글라글라하와이,https://m.place.naver.com/restaurant/38712171/menu/list
254,도토리키친본점,제주도%20도토리키친본점,https://m.place.naver.com/restaurant/223026237/menu/list
255,돈사돈  월정점,제주도%20돈사돈  월정점,https://m.place.naver.com/restaurant/1459168390/menu/list
256,링코제주시청점,제주도%20링코제주시청점,https://m.place.naver.com/restaurant/1466169629/menu/list
257,마노카페하우스,제주도%20마노카페하우스,https://m.place.naver.com/restaurant/1731799898/menu/list
258,맥파이블루버드,제주도%20맥파이블루버드,https://m.place.naver.com/restaurant/35877514/menu/list
259,문개항아리조천,제주도%20문개항아리조천,https://m.place.naver.com/restaurant/37197957/menu/list
260,버거요제주본점,제주도%20버거요제주본점,https://m.place.naver.com/restaurant/1062026034/menu/list
261,복자씨연탄구이,제주도%20복자씨연탄구이,https://m.place.naver.com/restaurant/35769744/menu/list
262,산호풍경이호점,제주도%20산호풍경이호점,https://m.place.naver.com/restaurant/1286278276/menu/list
263,소금바치순이네,제주도%20소금바치순이네,https://m.place.naver.com/restaurant/36690197/menu/list
264,수애기베이커리,제주도%20수애기베이커리,https://m.place.naver.com/restaurant/1288889499/menu/list
265,쌍둥이횟집본점,제주도%20쌍둥이횟집본점,https://m.place.naver.com/restaurant/11714447/menu/list
266,아베베베이커리,제주도%20아베베베이커리,https://m.place.naver.com/restaurant/1476605250/menu/list
267,어린왕자감귤밭,제주도%20어린왕자감귤밭,https://m.place.naver.com/restaurant/1659002184/menu/list
268,이스트포레스트,제주도%20이스트포레스트,https://m.place.naver.com/restaurant/1803296766/menu/list
269,일돈성산흑돼지,제주도%20일돈성산흑돼지,https://m.place.naver.com/restaurant/1831275437/menu/list
270,자연스러운식당,제주도%20자연스러운식당,https://m.place.naver.com/restaurant/1041364852/menu/list
271,제스타노래타운,제주도%20제스타노래타운,https://m.place.naver.com/restaurant/1446608935/menu/list
272,제주광해애월점,제주도%20제주광해애월점,https://m.place.naver.com/restaurant/1374828905/menu/list
273,제주김만복본점,제주도%20제주김만복본점,https://m.place.naver.com/restaurant/1773970782/menu/list
274,제주향토음식점,제주도%20제주향토음식점,https://m.place.naver.com/restaurant/16835580/menu/list
275,하갈비정육식당,제주도%20하갈비정육식당,https://m.place.naver.com/restaurant/1879049530/menu/list
276,형제도식당본점,제주도%20형제도식당본점,https://m.place.naver.com/restaurant/37293796/menu/list
277,봉순이네 흑돼지,제주도%20봉순이네 흑돼지,https://m.place.naver.com/restaurant/16934117/menu/list
278,에오마르(EOMAR),제주도%20에오마르(EOMAR),https://m.place.naver.com/restaurant/1256054205/menu/list
279,우정회센타2호점,제주도%20우정회센타2호점,https://m.place.naver.com/restaurant/36631530/menu/list
280,천돈가 중문본점,제주도%20천돈가 중문본점,https://m.place.naver.com/restaurant/1707288186/menu/list
281,풍림다방 송당점,제주도%20풍림다방 송당점,https://m.place.naver.com/restaurant/34347933/menu/list
282,해월정 서귀포점,제주도%20해월정 서귀포점,https://m.place.naver.com/restaurant/1291320257/menu/list
283,KFC 서귀포중문DT,제주도%20KFC 서귀포중문DT,https://m.place.naver.com/restaurant/37123082/menu/list
284,갓포아키제주도점,제주도%20갓포아키제주도점,https://m.place.naver.com/restaurant/1414609688/menu/list
285,까망돼지서귀포점,제주도%20까망돼지서귀포점,https://m.place.naver.com/restaurant/37411176/menu/list
286,동문시장오복떡집,제주도%20동문시장오복떡집,https://m.place.naver.com/restaurant/13511969/menu/list
287,별밤지기노래타운,제주도%20별밤지기노래타운,https://m.place.naver.com/restaurant/1081862238/menu/list
288,빠라빠빠노래타운,제주도%20빠라빠빠노래타운,https://m.place.naver.com/restaurant/1112718106/menu/list
289,삼대국수회관본점,제주도%20삼대국수회관본점,https://m.place.naver.com/restaurant/11727502/menu/list
290,서귀포파리바게뜨,제주도%20서귀포파리바게뜨,https://m.place.naver.com/restaurant/36948966/menu/list
291,시즈닝제주협재점,제주도%20시즈닝제주협재점,https://m.place.naver.com/restaurant/1323407786/menu/list
292,애월빵공장앤카페,제주도%20애월빵공장앤카페,https://m.place.naver.com/restaurant/1516216333/menu/list
293,제주김만복애월점,제주도%20제주김만복애월점,https://m.place.naver.com/restaurant/1176451757/menu/list
294,제주도민상회본점,제주도%20제주도민상회본점,https://m.place.naver.com/restaurant/38265308/menu/list
295,제주판타스틱버거,제주도%20제주판타스틱버거,https://m.place.naver.com/restaurant/1483222410/menu/list
296,카페루시아(본점),제주도%20카페루시아(본점),https://m.place.naver.com/restaurant/37153676/menu/list
297,투썸플레이스(주),제주도%20투썸플레이스(주),https://m.place.naver.com/restaurant/36948883/menu/list
298,스시테이,제주도%20스시테이,https://m.place.naver.com/restaurant/1522752942/menu/list
299,성산수산식당,제주도%20성산수산식당,https://m.place.naver.com/restaurant/1176908561/menu/list
300,고집돌우럭 중문점,제주도%20고집돌우럭 중문점,https://m.place.naver.com/restaurant/766197218/menu/list
301,고집돌우럭 함덕점,제주도%20고집돌우럭 함덕점,https://m.place.naver.com/restaurant/1177301296/menu/list
302,돌카롱 제주공항점,제주도%20돌카롱 제주공항점,https://m.place.naver.com/restaurant/1485004969/menu/list
