이름,지역,태그,주소,좋아요,찜하기,리뷰,방문했어요,조회,SNS공유,소개,상세정보,등급,편의시설,기타상세,상세텍스트,주변관광지개수,주변관광지,주변음식점개수,주변음식점,숙박업종
라온호텔앤리조트,제주시 > 한림,"#호텔 #숙소 #리조트
#수영장 #공공와이파이존 #주차장 #골프 #승마체험 #어린이놀이터 #부대시설 #교통 #가족호텔 #단체여행객 #주방기구 #정원 #비즈니스센터 #관광호텔",제주특별자치도 제주시 한림읍 금능남로 127,0,6,1,0,"3,582",1,비양도와 에메랄드빛 협재바다가 보이는 제주도 서부의 명품 휴양단지 라온호텔앤리조트,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설",,"상세정보
확장됨

라온호텔앤리조트는 비양도와 에메랄드빛 협재바다가 보이는 제주도 서부의 명품 휴양단지이다.
 -무료 생수 1일 2병 제공
 -투숙객 아쿠아풀&수영장 50%할인 적용
 -유아용품(아기침대, 젖병소독기, 아기욕조), 가습기 무료대여(유아용품은 한정수량으로 인해 사전 예약제로 운영)",28,"['협재해수욕장', '한림공원', '금능해수욕장', '월령선인장군락지', '더마파크', '협재굴(한림공원)', '금능석물원', '쌍용굴(한림공원)', '더마카트', '황금굴(한림공원)', '제주돌마을공원', '제주올레 14코스', '액티브파크', '라온승마클럽', '진아영 할머니 집터', '명월팽나무군락', '봉쥬르봉봉', '협재포구', '금능포구', '기독교순례길 2코스(순교의길)', '바릇스파', '느지리오름(망오름)', '월령포구', '배령연대', '옹포포구', '라온주 실내체험동물원', '썬플라워의원', '새시물']",30,"['피어22', '협재해녀의집', '수우동', '제주맥주 양조장', '명월국민학교', '독개물항', '키친오즈', '제갈양', '돌하르방식당', '카페쉼표', '한치앞도모를바다', '야자수 식당', '면뽑는선생 만두빚는아내', '도나토스', '성아시', '카페헤밍웨이', '하몽인제주', '더꽃돈', '월령203', '알라스카인제주 협재점', '다람쥐 식탁', '돼지굽는정원', '신스버거', '어애랑', '제주틈', '협재삼춘네횟집', '블루밍제이', '봉끄랑횟집', '비양도식당', '버거307 협재점']",호텔
레프트핸더 게스트하우스,제주시 > 구좌,"#게스트하우스 #숙소 #독채
#민박 #반려동물보호소 #해수욕장 #공공와이파이존 #조식포함",제주특별자치도 제주시 구좌읍 상도북2길 17-12,0,1,1,0,"1,439",0,구좌에 위치하며 평등을 추구하는 게스트하우스,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

구좌읍에 위치한 레프트핸더 게스트하우스는 여행의 순간을 통해 세상의 불평등을 해소하고자 하는 의미를 갖고 모든 여행객들에게 열려있는 공간이다. 이런 온화한 뜻을 품은 레프트핸더는 올레지기인 동시에 지질공원 해설사인 주인장에 의해 운영되고 있다. 이곳의 객실은 총 5개로 커플실, 가족실, 도미토리로 구성되어 있다. 공용공간으로 카페이자 주방이 24시간 동안 열려있으며 이곳에서 음주 및 취식, 책 대여가 가능하다. 조식은 오전 8시부터 1시간 동안 제공하고 있다. 기본 메뉴는 토스트, 시리얼, 각종 음료이며 추가적으로 라면이나 햇반을 판매하고 있다. 주변 관광지로는 세화해변, 벨롱장, 지미봉, 토끼섬, 월정리해변 등이 있으며 제주 국제공항으로부터 승용차로 약 40분이 소요된다.

 ",14,"['세화해변', '해녀박물관', '표선세화해안도로', '별방진', '평대리해변', '제주올레 21코스', '세화해안도로', '감수굴 밭담길', '맬튼개 갯담', '평대해변', '이로이로공방', '평대리불턱', '굴동포구', '세화소품관']",41,"['명진전복', '카페공작소', '평대성게국수', '연미정', '지붕위제주바다', '평대스낵', '비어라운드(Be around)', '바당봉봉', '얌얌돈까스', '카페리(CAFERI)', '레이식당', '나나이로 아코제주', '미엘드세화', '허벅식당', '말이', '부엌인세화', '텍시아', '에릭스에스프레소 카페', '벨롱', '소라횟집', '아일랜드조르바', '세러데이아일랜드', '석다원', '다래향2호점', '춘희', '아톰스낵', '종이비행기', '비자블라썸', '쇼디치카페', '맛좋은디', '풍미독서', '알마니', '청파식당횟집', '제주한잔, 세화', '세평맛집', '도도톳김밥', '카페한라산', '다래향 세화점', '카페 라라라', '르토아 베이스먼트', '카페록록']",게스트하우스
단추스테이,제주시 > 한림,"#숙소 #게스트하우스 #고향민박
#조식포함 #해수욕장 #교통",제주특별자치도 제주시 한림읍 금능1길 15-8,0,3,1,0,"1,830",1,나눔으로 마음이 따뜻해지는 집,연중무휴,,"공용주차장,화장실",,"상세정보
확장됨



단추스테이는 단추수프 동화책의 '나눔'이라는 주제와 '스테이'가 결합하여 만들어진 이름이다.

단추수프 동화책은 단추로 시작된 작은 나눔이 모두 나눠먹을 수 있는 맛있는 수프가 되었다는 이야기다.

단추스테이에서의 하룻밤의 작은 머물음은 아프리카의 아이들이 말라리아에서 벗어날 수 있는 모기장이 되는 기적이 된다.

재활용 물건을 통해 꾸며진 이곳은 그 어떤 곳보다 아름다운 곳이다. 현재 단추스테이는 두 곳의 위치에 세 개의 방을 운영하고 있다.

한 곳은 한림읍 금능에 위치한 '똑딱이방'과 '단추방'으로, 바다 근처에 위치한 2인실이다. 작은 거실과 주방, 화장실, 샤워실, 파우더룸을 공동으로 사용한다.
 
나머지 한 곳은 한경면 조수리에 위치한 미니멀 하우스로 독채 2인실이며 '숲'을 소재로 지어졌다. 창문 너머 멀리 바다와 풍차를 볼 수 있다.

아침식사는 직접 만드는 빵과 요거트, 샐러드, 과일 그리고 핸드드립 커피로 1인당 3천원에 이용할 수 있다.

주변 관광지로는 협재해변, 비양도, 저지 예술인마을, 차귀도, 환상숲 등이 있다.",20,"['협재해수욕장', '한림공원', '금능해수욕장', '비양도', '월령선인장군락지', '협재굴(한림공원)', '금능석물원', '쌍용굴(한림공원)', '황금굴(한림공원)', '제주올레 14코스', '해거름전망대', '진아영 할머니 집터', '봉쥬르봉봉', '비양도등대', '협재포구', '기독교순례길 2코스(순교의길)', '바릇스파', '월령포구', '배령연대', '썬플라워의원']",37,"['피어22', '협재해녀의집', '수우동', '키친오즈', '제갈양', '돌하르방식당', '카페쉼표', '한치앞도모를바다', '야자수 식당', '면뽑는선생 만두빚는아내', '도나토스', '울트라마린', '성아시', '호돌이식당', '카페헤밍웨이', '하몽인제주', '더꽃돈', '월령203', '알라스카인제주 협재점', '보말이야기', '비양도 올레카페', '돼지굽는정원', '신스버거', '어애랑', '재게재게옵서 카페', '협재삼춘네횟집', '봉끄랑횟집', '비양도식당', '버거307 협재점', '금능샌드', '제갈양 제주협재점', '제주머슴네', '협재칼국수', '협재온다정', '그루브', '담다', '협재신국수']",게스트하우스
루미수다게스트하우스,제주시 > 제주시내,"#게스트하우스 #숙소 #온돌방
#조식 #공항 #민박",제주특별자치도 제주시 중앙로 192,0,3,1,0,"1,564",0,끊임없는 웃음과 수다로 사랑의 인연이 맺어가는 집,연중무휴,,"화장실,무료 WIFI",,"상세정보
확장됨



루미수다 게스트 하우스는 제주 시내 중심가, 그리고 교통의 중심인 시청 사거리 인근에 위치하고 있다.

객실은 1인실, 2인실, 4인실, 6인실로 구성된다.

부대시설 및 공용공간으로 커뮤니티 공간인 중앙 커뮤니티 홀과 북카페, 주방, 세탁실, 남/녀로 구분된 샤워실과 화장실이 있다.

아침식사는 오전 7시 30분 ~ 9시까지 운영되며 토스트, 시리얼, 계란, 과일, 야채와 각종 음료를 제공한다.

주변에는 시청, 보성시장, 삼성혈, 자연사박물관, 국수거리 등의 관광지가 있다.

버스를 이용하게 되는 경우 광양 버스정류장 앞에서 하차하면 된다. ",38,"['용두암', '제주하늘을날다(패러글라이딩)', '관덕정', '용연', '제주목관아', '국립제주박물관', '민속자연사박물관', '탑동', '삼성혈', '사라봉', '두맹이골목', '용담/용두암 해안도로', '전농로 서사라문화거리', '제주문예회관', '보물섬하이킹', '산지천', '제주 패러글라이딩 스쿨', '김만덕객주', '흑돼지거리', '산지등대', '탑동해변공연장', '사라봉공원', '김만덕기념관', '용연카누클럽', '오현단', '아라리오뮤지엄탑동시네마', '제주성지', '제주향교', '제주교육박물관', '아라리오뮤지엄동문모텔1', '비블리아성서식물원', '제주스쿠터여행', '아홉굿마을 낙천리 농어촌체험마을', '돛오름', '아라리오뮤지엄동문모텔2', '신산공원', '미요캔들', '남수각 하늘길 벽화거리']",37,"['제주김만복(만복이네김밥집)', '우진해장국', '미친부엌', '고집돌우럭(제주공항점)', '오라숲소리', '만선식당', '바다풍경횟집', '산지물식당(건입동본점)', '쉬림프박스', '신설오름', '살롱드라방 SALON de LAVANT', '스시호시카이', '국수마당', '일통이반', '서문수산', '덤장', '넉둥베기 고사리육개장', '은희네해장국(일도점)', '골막식당', '하노이안브라더스', '제주침시술소바 (오로라식품)', '탑동산호전복', '바다위에코끼리', '화로향', '현옥식당', '모시란', '성미식당', '제주토속', '도다모', '삼대국수회관', '태광식당', '옛날동문시장칼국수', '다가미(도남)', '섬채', '명성식당', '해금강횟집', '초밥군커피씨']",게스트하우스
리치망고펜션,섬 속의 섬 > 우도,"#펜션 #숙소 #휴양펜션
#우도 #자연경관 #민박 #해수욕장 #카페",제주특별자치도 제주시 우도면 우도해안길 808,0,2,1,0,"1,729",0,신축건물의 깨끗한 객실과 아름다운해안뷰를 가진 리치망고펜션입니다.,,,"현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

걸어서 1분거리에 우도 하고수동 해변이 위치해 있으며, 1층에 리치망고 카페를 같이 운영하고 있습니다.
커플룸과 패밀리룸으로 구성되어 있으며 저렴한 방값을 자랑합니다.",23,"['우도(해양도립공원)', '우도산호해변 홍조단괴 서빈백사', '검멀레해변', '우도 비양도', '하고수동해변', '제주올레 1-1코스', '우도등대', '섬속의섬우도렌트', '검멀레동굴', '우도스쿠터여행', '노을승마장', '우도올레보트', '우도봉 ATV', '톨칸이', '답다니 탑망대 (하트원담)', '우도 봉수대', '우도봉 풍경', '산호레저', '등머을레져', '훈데르트바서파크', '우도 득성이코지', '비양도 연평리 야영지', '우도징기스칸승마체험']",54,"['하하호호(HAHAHOHO)', '섬소나이', '블랑로쉐', '우도 풍원', '봉끄랑', '로뎀가든', '망고레이', '우도해녀식당', '회양과 국수군', '지미스', '우도동식이', '안녕육지사람', '우도왕자이야기', '우도해광식당', '물꼬해녀의집', '우도자연', '물회영해초영', '우도아름다운소풍', '파도소리해녀촌', '제주한치빵 우도점', '모실래기해녀해물촌', '우도면파전리', '해적카페', '우도향', '해와달그리고섬', '리치망고우도점', '오로라식당', '우무깨식당', '하얀산호식당', '인어공주', '우도이야기', '산호사 해녀의집', '바당꺼몬딱', '섯동네해녀의집', '문어빵굽는문빵9', '돈채', '아이스크림연구소(우도점)', '띠띠빵빵', '우도몬딱', '산호풍경', '봉봉커피', '연이네', '대니스카페', '바람개비', '산호반점', '복여네왕돈가스', '피노키오', '헬로우우도', '바위소리', '엉클망고', '뽀요요 카페', '잔디가미', '지미스천연아이스크림', '우도짜장맨']",펜션/민박
마니주팬션,제주시 > 제주시내,"#숙소 #펜션 #휴양펜션
#자연경관 #바비큐 #공공와이파이존 #해수욕장 #해안도로 #해변 #가족",제주특별자치도 제주시 서해안로 248,0,2,1,0,"1,004",0,관광지와 가까운 마니주펜션,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨


바다전망이 한눈에 보이는 펜션

마니주펜션은 용담해안도로와 일출과 일몰을 감상할 수 있는 도두봉이 근처에 있다.
안도로를 따라 바다전망이 펼쳐지는 이곳에서 이용객들은 제주의 아름다움을 느낄 수 있다.
펜션형 객실과 호텔형 원룸 객실로 구성이 되어 있고, 공동주방이 따로 있어 실내가 쾌적한 편이다.
또한 바다내음이 가득한 공동테라스에서 바비큐도 즐길 수 있다.


제주국제공항에서 차로 약 15분 거리에 위치한 마니주펜션은 제주올레 17코스를 따라
용두암, 도두봉, 용연다리 등 다양한 명소를 볼 수 있으며, 문화관광지로는 제주공룡랜드, 제주러브랜드, 테디베어뮤지엄 등이 있다.",28,"['이호테우말등대', '도두봉', '도두동 무지개 해안도로', '이호테우해수욕장', '누웨마루거리(구 바오젠)', '제주올레 17코스', '용담레포츠공원', '제주국제공항', '용두암해안도로카페거리', '레이저서바이벌M', '제주 카카오캠핑', '스쿠버스쿨', '제주 이호털보 배낚시', '도두항', '도두해안도로', '중앙병원', '제주한라병원', '캐니언파크', '이호털보네배낚시', '어영공원', '제주국제공항(정뜨르비행장)', '아름다운피부과', '다끄네포구(용담포구)', '추억애거리', '오래물', '현사포구', '조선한의원', '제주불교성지 순례길 절로 가는길 - 지계의 길']",38,"['순옥이네 명가', '김희선몸국', '도두해녀의집', '삼다도횟집', '닐모리동동', '연동마라도횟집', '삼무국수', '덤장', '웅스키친', '카페 도두', '모메존', '제라한보쌈', '이게밥도둑', '흑돼지킹생구이전문점', '탕궁훠궈', '마두천손칼국수', '올래회어촌', '라지마할 RAJMAHAL', '노을언덕', '도두반점', '마린보이횟집', '거부한정식(신제주점)', '딤섬9898', '부르네비어가든', '순정문어', '우림일식', '어머니와고등어', '빠라빠빵', '깜돈 흑돼지', '겐짱야', '루스트플레이스 노형점', '탭하우스더코너', '승범이네집', '엘리펀시아', '이오리', '가야아구찜', '킨포크', '더화원']",펜션/민박
몽마르뜨펜션,제주시 > 애월,"#펜션 #숙소 #휴양펜션
#해변 #산책로 #해안도로 #바비큐",제주도 제주시 애월읍 애월해안로 384-23,0,2,1,0,"2,400",1,하귀해안도로 근방에 위치한 전 객실 바다전망인 프로방스풍 펜션,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨


애월-하귀 해안도로에 위치한 몽마르뜨 펜션은 프로방스 풍의 전원 별장 분위기를 가지고 있다.

클래식한 외관과 포근한 내부는 가족여행에 적합한 모습을 하고 있다. 이와 더불어 전 객실에서는 애월의 아름다운 바다 경치를 즐길 수 있다.

2-4인용 커플룸부터 10-30인용 단체실까지 총 15개의 객실은 원룸형, 거실형, 다락방형, 복층형의 선택이 가능하다.

기호에 따라 와인, 케잌, 풍선, 엑스트라 베드, 세면도구 등을 추가하여 예약이 가능하다.

부대시설로는 야외 수영장, 바베큐장, 식당과 세미나실 등이 있으며 식당에서 조식서비스를 이용할 수 있다.",14,"['애월해안도로', '더럭초등학교(구, 더럭분교)', '구엄리돌염전', '연화못', '제주올레 16코스', 'SM 디지털아트 뮤지엄', '애월 하물', '고내봉(고내오름,고니오름,망오름)', '고내리포구', '고내리 다락쉼터', '남두연대', '애월스쿠버다이빙스쿨', '신엄포구', '육시우영']",42,"['리치망고', '요리하는 목수', '고불락', '전설의마녀', '지금이순간', '노라바', 'ROAD129(로드129)', '연화키친', '숙이네보리빵', 'jival 지발', '무인카페 산책', '제주와이너리', '파리바게트 애월', '라스또르따스', '까미노', '고내촌한정식', '남또리', '카페하물', '꽁순이네', '마틸다', '오르다키친', '인디언키친', '애월리안', '카페소금', '달에', '백번가든', '귤따고 레드향갈고', '홍요깃거리카페', '잇칸시타', '쿡이야', '산책하우스', '면사무소', '노리터스낵', '꽃향유', '애월그때그집 본점', '해성도뚜리', '애월 우니담', '돈파스타정원', '썸의시작', '큐티파이 카페', '장인의집', '제주와함께라면']",펜션/민박
물고기나무게스트하우스,서귀포시 > 성산,"#휴식 #숙소 #게스트하우스
#체험 #바비큐 #공공와이파이존 #단체여행객 #해수욕장 #해변 #수상레저",제주특별자치도 서귀포시 성산읍 중산간동로 4204-14,0,1,1,0,"1,705",0,카페와 공방이 함께 운영되는 게스트하우스,,,"공용주차장,현금결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

성산읍 삼달리에 위치한 물고기나무 게스트하우스는 숙소와 함께 카페, 목공방이 운영되는 곳이다. 덕분에 모든 곳에 커피냄새와 나무냄새가 향긋하고, 곳곳이 나무로 만들어져 촉감 역시 부드러워 기분이 좋다.

객실은 여성전용 6인 도미토리, 2-3인실, 2인실, 1-2인실의 객실을 갖추고 있고, 화장실 및 샤워실은 2인실 외에는 모두 공용으로 이용해야 하며 건물의 1층에는 오픈 키친과 거실이 있다. 두 공간은 따로 소등시간이 없으며 뒷정리만 잘한다면 아무 부담없이 놀고 쉬고 먹을 수 있다. 마당에 위치한 바베큐 그릴도 별도의 이용 요금이 없다.

목공방에서는 목공체험교실이 열리는데 체험교실은 정해진 시간이 아닌 주인장이 있을 때 이야기하면 체험이 가능하고, 본인이 원하는 나무를 고르고 그림을 그려 넣으면 주인장이 그 모양을 오려주고, 그것을 받아서 사포질부터 마무리 코팅까지 직접 해볼 수 있다.

 ",11,"['일출랜드', '김영갑갤러리 두모악', '제주참숯가마찜질방', '제주 더팔팔농장', '고흐의 정원', '통오름', '독자봉', '제주인디', '신산환해장성', '신풍리 밭담길', '일출랜드 아트센터']",6,"['고래라면', '카페오름', '명품한라봉아이스크림', '아줄레주', '늘예솔', '자연으로']",게스트하우스
미라클게스트하우스,제주시 > 제주시내,"#휴식 #숙소 #게스트하우스
#자연경관 #바비큐 #조식포함 #자전거대여점 #매점",제주특별자치도 제주시 서해안로 346-9,0,1,1,0,"1,520",0,제주공항 근처에 위치한 펜션과 호텔,,,음료대,,"상세정보
확장됨




제주시 도두동에 공항인근에 위치한 48호실 규모의 객실 펜션",29,"['용두암', '이호테우말등대', '도두봉', '도두동 무지개 해안도로', '이호테우해수욕장', '누웨마루거리(구 바오젠)', '용담/용두암 해안도로', '제주올레 17코스', '보물섬하이킹', '용담레포츠공원', '제주국제공항', '용두암해안도로카페거리', '레이저서바이벌M', '제주 카카오캠핑', '스쿠버스쿨', '도두항', '도두해안도로', '중앙병원', '제주한라병원', '캐니언파크', '어영공원', '제주국제공항(정뜨르비행장)', '아름다운피부과', '다끄네포구(용담포구)', '추억애거리', '오래물', '현사포구', '조선한의원', '제원한의원']",38,"['제주김만복(만복이네김밥집)', '올래국수', '순옥이네 명가', '김지순의 낭푼밥상', '김희선몸국', '도두해녀의집', '삼다도횟집', '바다풍경횟집', '닐모리동동', '연동마라도횟집', '삼무국수', '덤장', '넉둥베기 고사리육개장', '웅스키친', '레드팬더', '만원의행복', '좀녀마을뚝배기', '카페 도두', '모메존', '수복강녕', '초밥군커피씨', '토끼와거북이', '이게밥도둑', '흑돼지킹생구이전문점', '탕궁훠궈', '메콩스카이', '마두천손칼국수', '라지마할 RAJMAHAL', '먹쿠슬낭여행자카페', '노을언덕', '도두반점', '삼성혈해물탕', '짬뽕에취한날', '마린보이횟집', '거부한정식(신제주점)', '애월바베', '딤섬9898', '부르네비어가든']",게스트하우스
미소게스트하우스,제주시 > 제주시내,"#휴식 #숙소 #게스트하우스
#공항 #노래방 #공공와이파이존 #단체여행객 #제주동문시장",제주특별자치도 제주시 관덕로 41,1,5,1,0,"3,724",0,원도심속에 편안한 잠자리를 제공하는 게스트하우스,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

제주의 문화와 역사가 살아있는 원도심에 위치한 미소 게스트하우스는 카페와 펍을 비롯한 다양한 놀거리와 공간이 함께 있는 게스트하우스다. 깔끔한 침실과 cctv를 통해 안전하게 유지되는 공용공간은 여행자들에게 안심과 편안한 휴식을 제공한다. 객실은 4인, 6인, 8인 도미토리가 있으며 남/녀 따로 사용한다. 가족일 경우, 하나의 방을 모두 예약할 시 혼숙이 가능하다. 객실 내부로는 음식 및 주류 반입이 금지되어있다. 카페나 펍에서 취식 및 음주가 가능하다. 두 공간은 투숙객 이외의 손님도 올 수 있는 공간으로 다양한 사람들과 어울려 즐길수 있지만 조용한 휴식이 필요한 이들에겐 불편할 수 있다. 이외의 공간으로는 투숙객 전용 노래방과 무료 공용 세탁실, 흡연실이 있다. 조식서비스는 아침 8시부터 9시까지 1층 카페에서 이용할 수 있다.

  ",41,"['용두암', '제주하늘을날다(패러글라이딩)', '관덕정', '용연', '제주목관아', '국립제주박물관', '민속자연사박물관', '탑동', '삼성혈', '사라봉', '두맹이골목', '용담/용두암 해안도로', '전농로 서사라문화거리', '제주문예회관', '보물섬하이킹', '용담레포츠공원', '산지천', '제주국제공항', '제주 패러글라이딩 스쿨', '김만덕객주', '흑돼지거리', '산지등대', '탑동해변공연장', '사라봉공원', '김만덕기념관', '별도봉', '용연카누클럽', '오현단', '아라리오뮤지엄탑동시네마', '제주성지', '제주향교', '제주교육박물관', '아라리오뮤지엄동문모텔1', '비블리아성서식물원', '제주스쿠터여행', '아홉굿마을 낙천리 농어촌체험마을', '돛오름', '아라리오뮤지엄동문모텔2', '신산공원', '미요캔들', '남수각 하늘길 벽화거리']",38,"['제주김만복(만복이네김밥집)', '우진해장국', '미친부엌', '고집돌우럭(제주공항점)', '김희선몸국', '오라숲소리', '만선식당', '삼다도횟집', '바다풍경횟집', '산지물식당(건입동본점)', '쉬림프박스', '신설오름', '살롱드라방 SALON de LAVANT', '스시호시카이', '국수마당', '일통이반', '서문수산', '덤장', '넉둥베기 고사리육개장', '은희네해장국(일도점)', '골막식당', '하노이안브라더스', '제주침시술소바 (오로라식품)', '탑동산호전복', '바다위에코끼리', '화로향', '현옥식당', '모시란', '성미식당', '제주토속', '삼대국수회관', '태광식당', '옛날동문시장칼국수', '다가미(도남)', '섬채', '명성식당', '해금강횟집', '초밥군커피씨']",게스트하우스
발리인제주,제주시 > 구좌,"#펜션 #숙소 #휴양펜션
#스파 #독채 #해수욕장 #해변 #공공와이파이존 #수상레저 #갯벌체험학습장",제주도 제주시 구좌읍 달맞이해안로 2326,1,5,1,0,"4,001",0,성산일출봉과 우도가 한눈에 보이는 커플전용 독채 펜션,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,유도 및 안내시설",,"상세정보
확장됨


성산일출봉과 우도가 한눈에 들어오는 종달리 해변에 위치한 발리인 제주는 커플전용 독채펜션으로

낮은 건물과 야자수 조경이 해변의 분위기와 어우러져 마치 동남아의 휴양지인 발리를 연상케하는 곳이다.

객실은 허니문 A/B/C와 커플룸이 있으며 허니문 C를 제외한 모든 객실은 최대 2인까지 숙박이 가능하다.

허니문룸과 커플룸의 구비시설 및 전망에 차이가 있으니 예약시 유의해야한다. 두 객실의 차이점으로는 간이주방과 노천탕, 그리고 전망이다.

허니문룸에는 간이주방과 노천탕이 있고 바다전망이며 커플룸은 위의 두가지가 없고 지미봉 전망이다.

주변관광지로는 종달리해변, 성산일출봉, 우도, 지미봉, 아쿠아플라넷, 올레 1코스, 토끼섬, 섭지코지, 세화해변 등이 있으며

제주국제공항으로부터 승용차로 약 50분이 소요된다.",13,"['종달리수국길', '제주올레 1코스', '지미봉', '하도해변', '종달리해안도로', '종달리전망대', '종달리해변', '두산봉(말미오름)', '취다선리조트', '성산~세화 해안도로', '하도리 철새도래지', '알오름(성산읍)', '금붕사']",22,"['해월정', '바다의집', '복자씨연탄구이', '산도롱맨도롱', '돌섬', '오조해녀의 집', '비어라운드(Be around)', '시흥해녀의집', '카페제주동네', '인더오조', '바다는안보여요', '술도가제주바당', '수다뜰', '종달리엔 엄마식당', '새벽숯불가든', '달리다방', '종달해녀의집', '가비오타카페', '묘한상점 묘한카페', '모뉴에트', '이스트포레스트', '섭지코지로']",펜션/민박
밭담사이,제주시 > 구좌,"#숙박 #민박 #종달
#숙소 #힐링 #편백나무펜션 #고향민박",제주특별자치도 제주시 구좌읍 종달로1길 115-1,2,2,1,0,"1,357",6,"제주 동쪽 끝 마을 종달리, 해변과 80m 떨어진 자연속에 어울러진 소나무와 수국 꽃으로 어우러진 집. 편백 내장재 사용 피톤치트 발산 이용자가 편한 곳",,없음,"화장실,무료 WIFI,경보 및 피난시설",,"상세정보
확장됨

제주 동쪽 끝 마을 종달리, 해변과 80m 떨어진 자연속에 어울러진 소나무와 수국 꽃으로 어우러진 집으로, 편백 내장재를 사용, 피톤치트가 발산되어 이용자가 편안함을 느낄 수 있는 곳이다.",7,"['지미봉', '종달리해안도로', '두산봉(말미오름)', '하도리 철새도래지', '알오름(성산읍)', '굴동포구', '금붕사']",16,"['해월정', '산도롱맨도롱', '비어라운드(Be around)', '시흥해녀의집', '카페제주동네', '바다는안보여요', '술도가제주바당', '수다뜰', '종달리엔 엄마식당', '달리다방', '종달해녀의집', '가비오타카페', '묘한상점 묘한카페', '모뉴에트', '이스트포레스트', '섭지코지로']",펜션/민박
베이힐 풀앤빌라,서귀포시 > 서귀포시내,"#콘도 #리조트 #휴양콘도
#주차장 #공공와이파이존 #무장애여행 #편의시설 #풀빌라",제주특별자치도 서귀포시 예래로 424,1,7,1,0,"9,130",3,서귀포시 하예동에 위치한 빌라형 레지던스 호텔,연중무휴,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,엘리베이터",,"상세정보
확장됨

베이힐풀앤빌라는 제주 서귀포시 하예동에 있는 풀빌라형 레지던스 호텔로 남쪽 바다와 깎아지는 해안절벽의 풍경을 그대로 담은 천혜의 구릉지에 위치한다.

하나의 호텔동과 9 개의 빌라동이 있으며 각각의 객실은 독특한 컨셉으로 디자인되어 휴식을 위한 완벽한 공간을 제공한다. 모든 객실은 바다 전망이며, 제주도 남쪽의 푸른 바다를 넓은 창문을 통해 감상할 수 있다. 야외 수영장 및 객실 내 전용 자쿠지는 바쁜 하루를 보낸 후 휴식과 긴장을 풀어줄 것이다.

풀 사이드 바와 레스토랑, 와인 카브, 라운지, 루프탑, 스파센터 등의 휴게 시설과 전용 스토어, 비지니스 센터, 연회장 등의 부대시설을 갖추고 있다. 이와 더불어 뱅앤 올룹슨 스피커와 보드게임 대여 , 베이힐 아케이드룸 (RC CAR / 노래방) 서비스를 제공하고 있다.",29,"['제주실탄사격장', '중문색달해수욕장', '중문관광단지', '박물관은 살아있다', '여미지식물원', '군산(군산오름,코메오름)', '퍼시픽 리솜 요트투어 샹그릴라', '테디베어뮤지엄제주', '박수기정', '제주올레 8코스', '초콜릿랜드', '엉덩물계곡', '쉬리의언덕', '논짓물', '별내린전망대', '중문미로파크', '대평포구', '예래생태체험관', '제주올레 9코스', '중문색달해변(해산물)', '제주해양레저파크', '열리해안길', '중문컨트리클럽', '예래해안도로', '하예포구(예래포구)', '중문골프장', '롯데호텔 브이스파', '스위트호텔 아로마', '김서프제주']",33,"['국수바다 본점', '중문덤장', '피제리아3657', '몽키비치클럽 Monkey Beach', '더파크뷰(신라호텔)', '중문랜드프리미엄뷔페', '쉬는팡가든', '제주진미마돈가', '천제연토속음식점', '옐로우카페 (yellow cafe)', '제주오성', '중문수원음식점', '난드르깡통구이', '카페피크닉(르피크닉)', '색달식당', '돈이랑', '카페루시아', '창천삼거리식당', '어부와농부', '서민흑돼지', '신우성타운', '황토기와집', '갈치 카페', '내담', '물고기카페', '카페세렌디', '가온해', '춘심이네 본점', '사우스바운더', '중문정', '휴일로', '해조네', '난드르바당']",리조트/콘도
